x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
21.9 ft,15.6 ft,1,09:42.0,Kevin Durant,MAKE,2,13 ft
26.1 ft,4.68 ft,1,07:49.0,Kevin Durant,MAKE,2,3 ft
23.7 ft,14.0 ft,1,07:00.0,Kevin Durant,MISS,2,11 ft
2.19 ft,17.4 ft,1,05:22.0,Kevin Durant,MISS,3,26 ft
38.8 ft,25.2 ft,1,05:04.0,Kevin Durant,MISS,3,27 ft
17.2 ft,4.68 ft,1,03:37.0,Kevin Durant,MISS,2,7 ft
25.7 ft,30.3 ft,2,06:04.0,Kevin Durant,MISS,3,27 ft
23.7 ft,5.17 ft,2,04:18.0,Kevin Durant,MISS,2,2 ft
17.1 ft,4.87 ft,2,03:50.0,Kevin Durant,MAKE,2,7 ft
33.0 ft,27.8 ft,2,03:22.0,Kevin Durant,MAKE,3,26 ft
18.0 ft,6.37 ft,2,02:45.0,Kevin Durant,MAKE,2,7 ft
19.7 ft,10.7 ft,2,00:12.0,Kevin Durant,MISS,2,9 ft
11.6 ft,12.8 ft,3,11:22.0,Kevin Durant,MAKE,2,16 ft
15.7 ft,15.6 ft,3,08:52.0,Kevin Durant,MAKE,2,15 ft
23.7 ft,24.1 ft,3,07:08.0,Kevin Durant,MAKE,2,21 ft
24.0 ft,30.6 ft,3,06:41.0,Kevin Durant,MAKE,3,28 ft
32.8 ft,12.6 ft,3,06:14.0,Kevin Durant,MISS,2,13 ft
40.8 ft,25.8 ft,3,04:07.0,Kevin Durant,MISS,3,28 ft
23.5 ft,5.27 ft,3,03:35.0,Kevin Durant,MISS,2,2 ft
17.5 ft,14.7 ft,3,03:23.0,Kevin Durant,MAKE,2,13 ft
24.6 ft,7.26 ft,4,07:46.0,Kevin Durant,MISS,2,4 ft
24.2 ft,3.68 ft,4,07:24.0,Kevin Durant,MAKE,2,0 ft
22.5 ft,20.2 ft,4,06:45.0,Kevin Durant,MISS,2,17 ft
25.2 ft,16.4 ft,4,04:39.0,Kevin Durant,MAKE,2,13 ft
17.9 ft,28.8 ft,4,03:57.0,Kevin Durant,MAKE,3,26 ft
33.3 ft,26.6 ft,1,11:06.0,Kevin Durant,MISS,3,25 ft
16.9 ft,7.46 ft,1,10:18.0,Kevin Durant,MAKE,2,8 ft
25.0 ft,3.58 ft,1,09:48.0,Kevin Durant,MAKE,2,1 ft
12.2 ft,19.2 ft,1,06:40.0,Kevin Durant,MAKE,2,20 ft
23.1 ft,14.2 ft,1,05:03.0,Kevin Durant,MAKE,2,11 ft
30.8 ft,8.16 ft,1,00:02.0,Kevin Durant,MISS,2,8 ft
15.1 ft,20.2 ft,2,02:34.0,Kevin Durant,MISS,2,19 ft
23.2 ft,8.26 ft,2,02:15.0,Kevin Durant,MAKE,2,5 ft
25.3 ft,29.3 ft,2,00:02.0,Kevin Durant,MAKE,3,26 ft
32.9 ft,17.7 ft,3,11:01.0,Kevin Durant,MAKE,2,17 ft
26.7 ft,27.2 ft,3,08:50.0,Kevin Durant,MISS,3,24 ft
16.2 ft,27.1 ft,3,05:34.0,Kevin Durant,MISS,3,25 ft
30.0 ft,7.16 ft,3,04:22.0,Kevin Durant,MAKE,2,7 ft
11.5 ft,11.4 ft,3,03:45.0,Kevin Durant,MISS,2,15 ft
32.1 ft,15.6 ft,3,01:17.0,Kevin Durant,MISS,2,15 ft
18.9 ft,12.2 ft,4,06:49.0,Kevin Durant,MISS,2,10 ft
12.3 ft,13.6 ft,4,04:41.0,Kevin Durant,MAKE,2,16 ft
35.8 ft,24.7 ft,4,03:48.0,Kevin Durant,MISS,3,25 ft
35.8 ft,24.2 ft,4,02:14.0,Kevin Durant,MISS,3,24 ft
30.7 ft,14.7 ft,4,01:33.0,Kevin Durant,MISS,2,13 ft
20.5 ft,6.77 ft,1,08:37.0,Kevin Durant,MAKE,2,5 ft
19.0 ft,16.1 ft,1,06:49.0,Kevin Durant,MAKE,2,14 ft
23.7 ft,4.38 ft,1,06:24.0,Kevin Durant,MAKE,2,1 ft
24.4 ft,3.58 ft,1,04:52.0,Kevin Durant,MAKE,2,1 ft
37.0 ft,13.0 ft,1,04:33.0,Kevin Durant,MAKE,2,16 ft
22.3 ft,13.8 ft,2,07:40.0,Kevin Durant,MISS,2,11 ft
40.8 ft,22.5 ft,2,07:07.0,Kevin Durant,MISS,3,26 ft
23.7 ft,18.5 ft,2,06:01.0,Kevin Durant,MAKE,2,15 ft
24.8 ft,4.58 ft,2,04:50.0,Kevin Durant,MAKE,2,2 ft
17.2 ft,27.3 ft,2,04:26.0,Kevin Durant,MISS,3,25 ft
31.5 ft,14.2 ft,2,03:37.0,Kevin Durant,MAKE,2,13 ft
35.3 ft,1.59 ft,2,00:46.0,Kevin Durant,MAKE,2,11 ft
36.7 ft,20.5 ft,2,00:36.0,Kevin Durant,MAKE,2,21 ft
21.2 ft,27.8 ft,3,10:39.0,Kevin Durant,MAKE,3,25 ft
24.9 ft,3.38 ft,3,08:08.0,Kevin Durant,MAKE,2,1 ft
15.7 ft,25.7 ft,3,05:30.0,Kevin Durant,MISS,3,24 ft
22.8 ft,8.76 ft,3,05:24.0,Kevin Durant,MISS,2,6 ft
13.3 ft,26.1 ft,3,04:20.0,Kevin Durant,MISS,3,25 ft
13.9 ft,8.96 ft,3,03:26.0,Kevin Durant,MAKE,2,12 ft
27.5 ft,17.1 ft,4,06:20.0,Kevin Durant,MAKE,2,14 ft
25.7 ft,14.1 ft,4,05:39.0,Kevin Durant,MISS,2,11 ft
30.4 ft,27.2 ft,4,04:56.0,Kevin Durant,MAKE,3,25 ft
26.3 ft,9.75 ft,4,04:16.0,Kevin Durant,MAKE,2,7 ft
17.0 ft,16.6 ft,4,01:51.0,Kevin Durant,MAKE,2,15 ft
38.0 ft,10.2 ft,1,10:28.0,Kevin Durant,MAKE,2,16 ft
13.6 ft,13.0 ft,1,07:46.0,Kevin Durant,MISS,2,14 ft
30.8 ft,7.16 ft,1,03:48.0,Kevin Durant,MAKE,2,8 ft
27.3 ft,21.2 ft,1,03:14.0,Kevin Durant,MISS,2,18 ft
33.8 ft,6.87 ft,1,01:54.0,Kevin Durant,MAKE,2,10 ft
14.7 ft,8.36 ft,2,05:30.0,Kevin Durant,MAKE,2,11 ft
22.7 ft,15.3 ft,2,02:37.0,Kevin Durant,MAKE,2,12 ft
13.7 ft,11.5 ft,2,02:06.0,Kevin Durant,MISS,2,13 ft
37.9 ft,7.36 ft,2,00:59.0,Kevin Durant,MAKE,2,15 ft
35.3 ft,26.6 ft,2,00:03.0,Kevin Durant,MAKE,3,26 ft
16.0 ft,9.26 ft,3,09:53.0,Kevin Durant,MISS,2,10 ft
35.3 ft,14.5 ft,3,08:54.0,Kevin Durant,MISS,2,16 ft
14.2 ft,26.5 ft,3,08:26.0,Kevin Durant,MISS,3,25 ft
22.6 ft,4.08 ft,3,05:19.0,Kevin Durant,MISS,2,2 ft
24.7 ft,19.5 ft,4,11:03.0,Kevin Durant,MAKE,2,16 ft
24.9 ft,15.7 ft,4,09:23.0,Kevin Durant,MAKE,2,13 ft
42.3 ft,4.68 ft,4,08:45.0,Kevin Durant,MISS,2,18 ft
35.6 ft,4.58 ft,1,07:59.0,Kevin Durant,MAKE,2,12 ft
23.4 ft,5.97 ft,1,06:58.0,Kevin Durant,MISS,2,3 ft
34.3 ft,2.78 ft,1,06:30.0,Kevin Durant,MISS,2,10 ft
21.7 ft,6.47 ft,1,05:44.0,Kevin Durant,MISS,2,4 ft
37.2 ft,4.08 ft,1,04:14.0,Kevin Durant,MISS,2,13 ft
27.3 ft,29.2 ft,1,02:30.0,Kevin Durant,MISS,3,26 ft
25.7 ft,13.5 ft,1,00:30.0,Kevin Durant,MAKE,2,10 ft
24.4 ft,4.18 ft,2,03:58.0,Kevin Durant,MAKE,2,1 ft
24.9 ft,2.88 ft,2,02:27.0,Kevin Durant,MAKE,2,1 ft
37.1 ft,25.3 ft,3,11:46.0,Kevin Durant,MAKE,3,26 ft
13.1 ft,17.3 ft,3,08:54.0,Kevin Durant,MISS,2,18 ft
16.2 ft,9.45 ft,3,07:22.0,Kevin Durant,MAKE,2,10 ft
35.8 ft,6.27 ft,3,04:48.0,Kevin Durant,MISS,2,12 ft
25.6 ft,3.68 ft,3,03:29.0,Kevin Durant,MAKE,2,2 ft
42.8 ft,20.4 ft,3,03:00.0,Kevin Durant,MISS,3,26 ft
16.7 ft,28.7 ft,4,06:08.0,Kevin Durant,MAKE,3,27 ft
22.7 ft,14.7 ft,4,04:35.0,Kevin Durant,MAKE,2,12 ft
30.5 ft,14.5 ft,4,02:31.0,Kevin Durant,MISS,2,13 ft
23.2 ft,20.2 ft,1,11:15.0,Kevin Durant,MAKE,2,17 ft
36.5 ft,7.96 ft,1,06:59.0,Kevin Durant,MAKE,2,13 ft
25.0 ft,13.0 ft,1,05:25.0,Kevin Durant,MAKE,2,10 ft
23.5 ft,4.58 ft,1,02:59.0,Kevin Durant,MAKE,2,1 ft
21.0 ft,28.8 ft,1,01:57.0,Kevin Durant,MISS,3,26 ft
23.2 ft,10.7 ft,1,01:00.0,Kevin Durant,MAKE,2,8 ft
33.3 ft,27.3 ft,1,00:33.0,Kevin Durant,MAKE,3,26 ft
30.9 ft,11.7 ft,2,02:50.0,Kevin Durant,MISS,2,11 ft
36.3 ft,18.7 ft,3,03:40.0,Kevin Durant,MAKE,2,20 ft
35.8 ft,25.0 ft,4,05:47.0,Kevin Durant,MISS,3,25 ft
18.0 ft,12.0 ft,1,10:35.0,Kevin Durant,MAKE,2,11 ft
33.0 ft,26.6 ft,1,08:42.0,Kevin Durant,MAKE,3,25 ft
24.7 ft,3.08 ft,1,07:54.0,Kevin Durant,MAKE,2,1 ft
33.8 ft,3.28 ft,1,06:02.0,Kevin Durant,MISS,2,10 ft
18.0 ft,11.5 ft,1,02:35.0,Kevin Durant,MISS,2,10 ft
25.5 ft,22.5 ft,2,06:30.0,Kevin Durant,MAKE,2,19 ft
28.2 ft,18.8 ft,2,03:45.0,Kevin Durant,MAKE,2,16 ft
17.2 ft,13.2 ft,2,02:40.0,Kevin Durant,MISS,2,12 ft
23.9 ft,3.58 ft,2,02:25.0,Kevin Durant,MAKE,2,0 ft
34.5 ft,21.2 ft,2,02:09.0,Kevin Durant,MAKE,2,21 ft
26.0 ft,18.3 ft,2,01:23.0,Kevin Durant,MAKE,2,15 ft
35.8 ft,17.2 ft,3,10:53.0,Kevin Durant,MAKE,2,18 ft
34.2 ft,12.7 ft,3,03:38.0,Kevin Durant,MAKE,2,14 ft
31.0 ft,20.5 ft,1,08:40.0,Kevin Durant,MAKE,2,19 ft
21.0 ft,28.8 ft,1,07:37.0,Kevin Durant,MISS,3,26 ft
23.5 ft,2.88 ft,1,07:24.0,Kevin Durant,MAKE,2,1 ft
31.9 ft,11.0 ft,1,05:52.0,Kevin Durant,MISS,2,11 ft
12.7 ft,4.38 ft,1,05:32.0,Kevin Durant,MISS,2,11 ft
27.3 ft,13.3 ft,1,04:25.0,Kevin Durant,MAKE,2,11 ft
35.3 ft,5.17 ft,1,03:13.0,Kevin Durant,MAKE,2,11 ft
23.2 ft,3.18 ft,1,02:16.0,Kevin Durant,MAKE,2,1 ft
24.0 ft,3.18 ft,1,00:40.0,Kevin Durant,MAKE,2,0 ft
23.7 ft,4.38 ft,2,02:41.0,Kevin Durant,MAKE,2,1 ft
24.7 ft,14.8 ft,2,01:44.0,Kevin Durant,MAKE,2,12 ft
24.0 ft,28.2 ft,3,10:50.0,Kevin Durant,MISS,3,25 ft
26.3 ft,12.7 ft,3,09:38.0,Kevin Durant,MISS,2,10 ft
37.6 ft,16.6 ft,3,07:33.0,Kevin Durant,MAKE,2,19 ft
14.7 ft,12.5 ft,3,04:00.0,Kevin Durant,MAKE,2,13 ft
11.7 ft,24.7 ft,3,03:38.0,Kevin Durant,MAKE,3,25 ft
32.3 ft,22.1 ft,3,00:45.0,Kevin Durant,MAKE,2,21 ft
40.8 ft,20.9 ft,3,00:01.0,Kevin Durant,MAKE,3,24 ft
38.8 ft,23.9 ft,4,04:48.0,Kevin Durant,MISS,3,26 ft
1.0 ft,12.2 ft,4,03:56.0,Kevin Durant,MISS,3,25 ft
14.2 ft,22.5 ft,1,10:52.0,Kevin Durant,MISS,2,22 ft
21.2 ft,14.9 ft,1,09:17.0,Kevin Durant,MAKE,2,12 ft
34.2 ft,15.3 ft,1,05:33.0,Kevin Durant,MAKE,2,16 ft
32.4 ft,14.2 ft,1,01:49.0,Kevin Durant,MISS,2,14 ft
12.1 ft,25.3 ft,1,01:22.0,Kevin Durant,MISS,3,25 ft
14.7 ft,7.96 ft,1,00:48.0,Kevin Durant,MISS,2,10 ft
30.8 ft,28.4 ft,2,03:21.0,Kevin Durant,MISS,3,26 ft
25.7 ft,4.18 ft,2,02:40.0,Kevin Durant,MAKE,2,2 ft
10.8 ft,11.6 ft,2,02:09.0,Kevin Durant,MISS,2,16 ft
19.2 ft,9.65 ft,2,00:42.0,Kevin Durant,MISS,2,8 ft
15.5 ft,10.5 ft,2,00:19.0,Kevin Durant,MISS,2,11 ft
47.4 ft,11.4 ft,3,11:34.0,Kevin Durant,MAKE,3,25 ft
23.5 ft,8.46 ft,3,08:37.0,Kevin Durant,MISS,2,5 ft
12.4 ft,26.5 ft,3,07:41.0,Kevin Durant,MAKE,3,26 ft
19.2 ft,7.86 ft,3,06:06.0,Kevin Durant,MAKE,2,7 ft
25.7 ft,3.98 ft,3,03:45.0,Kevin Durant,MAKE,2,2 ft
24.2 ft,13.7 ft,3,02:47.0,Kevin Durant,MAKE,2,11 ft
36.5 ft,25.9 ft,4,06:00.0,Kevin Durant,MISS,3,26 ft
19.2 ft,11.9 ft,4,05:30.0,Kevin Durant,MAKE,2,10 ft
12.5 ft,7.56 ft,4,04:23.0,Kevin Durant,MISS,2,12 ft
19.8 ft,7.06 ft,4,03:38.0,Kevin Durant,MISS,2,6 ft
21.3 ft,4.28 ft,4,03:12.0,Kevin Durant,MISS,2,3 ft
17.4 ft,3.98 ft,4,02:37.0,Kevin Durant,MAKE,2,7 ft
38.8 ft,25.4 ft,4,01:54.0,Kevin Durant,MISS,3,27 ft
15.9 ft,8.86 ft,4,01:13.0,Kevin Durant,MAKE,2,10 ft
15.0 ft,19.8 ft,4,00:24.0,Kevin Durant,MISS,2,19 ft
22.1 ft,4.28 ft,4,00:13.0,Kevin Durant,MAKE,2,2 ft
18.7 ft,14.5 ft,1,08:32.0,Kevin Durant,MISS,2,13 ft
19.6 ft,28.7 ft,1,08:04.0,Kevin Durant,MISS,3,26 ft
14.0 ft,13.2 ft,1,07:18.0,Kevin Durant,MAKE,2,14 ft
17.1 ft,28.2 ft,1,06:43.0,Kevin Durant,MAKE,3,26 ft
1.40 ft,3.18 ft,1,04:12.0,Kevin Durant,MISS,3,23 ft
23.1 ft,19.7 ft,1,03:43.0,Kevin Durant,MAKE,2,17 ft
18.9 ft,17.6 ft,1,00:44.0,Kevin Durant,MAKE,2,15 ft
36.0 ft,9.75 ft,2,06:01.0,Kevin Durant,MISS,2,14 ft
22.3 ft,10.3 ft,2,04:59.0,Kevin Durant,MISS,2,7 ft
17.5 ft,17.9 ft,2,03:42.0,Kevin Durant,MAKE,2,16 ft
11.7 ft,25.6 ft,2,01:53.0,Kevin Durant,MISS,3,26 ft
26.5 ft,5.47 ft,2,00:10.0,Kevin Durant,MAKE,2,3 ft
24.2 ft,4.18 ft,3,10:15.0,Kevin Durant,MAKE,2,1 ft
17.7 ft,10.8 ft,3,06:18.0,Kevin Durant,MISS,2,10 ft
23.9 ft,18.4 ft,3,05:05.0,Kevin Durant,MISS,2,15 ft
38.0 ft,23.5 ft,3,03:57.0,Kevin Durant,MAKE,3,25 ft
8.0 ft,23.2 ft,3,01:47.0,Kevin Durant,MAKE,3,26 ft
23.7 ft,5.77 ft,3,00:18.0,Kevin Durant,MAKE,2,3 ft
23.3 ft,8.46 ft,4,03:59.0,Kevin Durant,MAKE,2,5 ft
13.2 ft,27.0 ft,1,11:01.0,Kevin Durant,MAKE,3,26 ft
31.9 ft,27.5 ft,1,08:23.0,Kevin Durant,MISS,3,26 ft
24.7 ft,11.7 ft,1,06:14.0,Kevin Durant,MISS,2,9 ft
21.0 ft,22.0 ft,1,04:50.0,Kevin Durant,MAKE,2,19 ft
29.4 ft,11.5 ft,2,03:27.0,Kevin Durant,MAKE,2,10 ft
8.20 ft,22.7 ft,2,03:00.0,Kevin Durant,MISS,3,25 ft
27.0 ft,17.4 ft,2,02:43.0,Kevin Durant,MAKE,2,15 ft
19.8 ft,5.17 ft,2,00:06.0,Kevin Durant,MAKE,2,5 ft
36.3 ft,24.9 ft,3,11:32.0,Kevin Durant,MISS,3,25 ft
36.0 ft,18.7 ft,3,09:55.0,Kevin Durant,MAKE,2,20 ft
7.7 ft,21.9 ft,3,07:02.0,Kevin Durant,MAKE,3,25 ft
23.2 ft,4.87 ft,3,04:56.0,Kevin Durant,MISS,2,2 ft
22.2 ft,3.28 ft,3,03:27.0,Kevin Durant,MAKE,2,2 ft
35.3 ft,19.9 ft,3,00:58.0,Kevin Durant,MAKE,2,20 ft
23.5 ft,11.4 ft,3,00:27.0,Kevin Durant,MISS,2,8 ft
17.2 ft,28.7 ft,3,00:03.0,Kevin Durant,MISS,3,27 ft
22.7 ft,17.1 ft,4,08:35.0,Kevin Durant,MISS,2,14 ft
16.0 ft,6.17 ft,4,07:45.0,Kevin Durant,MAKE,2,9 ft
16.8 ft,3.68 ft,4,06:38.0,Kevin Durant,MISS,2,7 ft
36.3 ft,15.1 ft,4,06:06.0,Kevin Durant,MISS,2,17 ft
24.0 ft,3.28 ft,4,05:52.0,Kevin Durant,MAKE,2,0 ft
10.2 ft,8.96 ft,4,05:09.0,Kevin Durant,MAKE,2,15 ft
3.2 ft,17.4 ft,4,04:27.0,Kevin Durant,MAKE,3,25 ft
4.3 ft,20.0 ft,4,04:02.0,Kevin Durant,MISS,3,26 ft
3.40 ft,20.4 ft,1,10:01.0,Kevin Durant,MAKE,3,27 ft
17.9 ft,20.2 ft,1,07:40.0,Kevin Durant,MAKE,2,18 ft
35.3 ft,4.08 ft,1,06:23.0,Kevin Durant,MAKE,2,11 ft
19.7 ft,24.7 ft,1,03:58.0,Kevin Durant,MISS,2,22 ft
23.5 ft,29.6 ft,1,03:46.0,Kevin Durant,MAKE,3,27 ft
23.4 ft,19.7 ft,1,01:42.0,Kevin Durant,MAKE,2,17 ft
23.7 ft,5.37 ft,2,03:10.0,Kevin Durant,MAKE,2,2 ft
19.7 ft,5.47 ft,3,09:32.0,Kevin Durant,MAKE,2,5 ft
18.4 ft,17.2 ft,3,08:10.0,Kevin Durant,MAKE,2,15 ft
30.0 ft,13.7 ft,3,04:21.0,Kevin Durant,MAKE,2,12 ft
14.7 ft,5.97 ft,3,03:18.0,Kevin Durant,MAKE,2,10 ft
26.1 ft,3.88 ft,3,00:06.0,Kevin Durant,MAKE,2,2 ft
39.0 ft,13.5 ft,1,10:16.0,Kevin Durant,MAKE,2,18 ft
31.1 ft,14.7 ft,1,07:31.0,Kevin Durant,MISS,2,14 ft
20.7 ft,13.1 ft,1,05:09.0,Kevin Durant,MAKE,2,10 ft
37.9 ft,25.5 ft,1,02:29.0,Kevin Durant,MAKE,3,26 ft
25.4 ft,14.8 ft,1,01:48.0,Kevin Durant,MAKE,2,12 ft
34.0 ft,16.1 ft,2,02:09.0,Kevin Durant,MAKE,2,16 ft
13.3 ft,11.7 ft,2,01:34.0,Kevin Durant,MAKE,2,14 ft
28.2 ft,15.0 ft,3,11:47.0,Kevin Durant,MISS,2,13 ft
23.9 ft,6.97 ft,3,10:26.0,Kevin Durant,MAKE,2,4 ft
21.0 ft,18.9 ft,3,06:59.0,Kevin Durant,MISS,2,16 ft
47.1 ft,11.2 ft,3,04:45.0,Kevin Durant,MAKE,3,25 ft
26.6 ft,6.77 ft,3,03:05.0,Kevin Durant,MAKE,2,4 ft
15.5 ft,6.37 ft,4,05:40.0,Kevin Durant,MISS,2,9 ft
13.8 ft,5.77 ft,4,05:37.0,Kevin Durant,MISS,2,10 ft
31.4 ft,3.18 ft,4,04:30.0,Kevin Durant,MISS,2,7 ft
28.5 ft,14.0 ft,4,03:11.0,Kevin Durant,MAKE,2,12 ft
39.8 ft,23.5 ft,4,02:36.0,Kevin Durant,MAKE,3,26 ft
41.6 ft,2.58 ft,1,11:20.0,Kevin Durant,MAKE,2,18 ft
6.5 ft,20.7 ft,1,10:58.0,Kevin Durant,MISS,3,25 ft
25.0 ft,3.78 ft,1,10:09.0,Kevin Durant,MAKE,2,1 ft
47.5 ft,2.19 ft,1,08:40.0,Kevin Durant,MAKE,3,24 ft
24.0 ft,3.58 ft,1,07:29.0,Kevin Durant,MISS,2,0 ft
36.8 ft,7.16 ft,1,05:58.0,Kevin Durant,MISS,2,13 ft
39.3 ft,23.2 ft,2,06:02.0,Kevin Durant,MAKE,3,25 ft
38.8 ft,24.6 ft,2,04:02.0,Kevin Durant,MISS,3,26 ft
32.0 ft,7.86 ft,2,03:23.0,Kevin Durant,MAKE,2,9 ft
40.8 ft,11.9 ft,2,02:26.0,Kevin Durant,MISS,2,19 ft
38.2 ft,25.1 ft,3,10:38.0,Kevin Durant,MISS,3,26 ft
39.8 ft,11.2 ft,3,10:02.0,Kevin Durant,MAKE,2,18 ft
28.4 ft,15.1 ft,3,09:34.0,Kevin Durant,MAKE,2,13 ft
35.5 ft,28.0 ft,3,09:02.0,Kevin Durant,MISS,3,27 ft
8.7 ft,2.58 ft,3,05:33.0,Kevin Durant,MISS,2,15 ft
30.0 ft,16.2 ft,4,05:33.0,Kevin Durant,MAKE,2,14 ft
28.5 ft,2.29 ft,4,02:48.0,Kevin Durant,MAKE,2,5 ft
28.1 ft,8.66 ft,1,10:33.0,Kevin Durant,MAKE,2,7 ft
31.3 ft,17.7 ft,1,09:04.0,Kevin Durant,MAKE,2,16 ft
18.9 ft,5.87 ft,1,06:31.0,Kevin Durant,MISS,2,6 ft
37.3 ft,27.1 ft,1,06:10.0,Kevin Durant,MAKE,3,27 ft
18.2 ft,3.38 ft,1,03:13.0,Kevin Durant,MISS,2,6 ft
1.2 ft,2.38 ft,1,03:10.0,Kevin Durant,MAKE,3,23 ft
24.3 ft,16.7 ft,1,01:54.0,Kevin Durant,MISS,2,14 ft
31.5 ft,12.8 ft,2,05:46.0,Kevin Durant,MISS,2,12 ft
32.0 ft,20.7 ft,2,02:22.0,Kevin Durant,MISS,2,19 ft
24.4 ft,3.78 ft,2,01:56.0,Kevin Durant,MAKE,2,1 ft
16.9 ft,8.36 ft,2,01:35.0,Kevin Durant,MAKE,2,9 ft
29.5 ft,19.2 ft,3,10:58.0,Kevin Durant,MISS,2,17 ft
41.0 ft,25.2 ft,3,07:51.0,Kevin Durant,MISS,3,28 ft
42.1 ft,24.1 ft,3,07:13.0,Kevin Durant,MISS,3,28 ft
46.4 ft,15.3 ft,3,05:54.0,Kevin Durant,MISS,3,26 ft
33.0 ft,6.37 ft,3,04:41.0,Kevin Durant,MISS,2,10 ft
1.70 ft,1.19 ft,3,04:08.0,Kevin Durant,MISS,3,22 ft
19.7 ft,7.26 ft,3,02:53.0,Kevin Durant,MISS,2,6 ft
30.9 ft,15.9 ft,3,02:13.0,Kevin Durant,MISS,2,15 ft
24.0 ft,3.88 ft,1,11:26.0,Kevin Durant,MAKE,2,1 ft
30.2 ft,14.2 ft,1,10:40.0,Kevin Durant,MAKE,2,13 ft
19.7 ft,4.77 ft,1,08:10.0,Kevin Durant,MISS,2,5 ft
31.9 ft,5.97 ft,1,06:23.0,Kevin Durant,MISS,2,8 ft
20.0 ft,6.17 ft,1,05:51.0,Kevin Durant,MISS,2,5 ft
24.4 ft,3.28 ft,1,05:40.0,Kevin Durant,MAKE,2,0 ft
47.0 ft,10.2 ft,1,04:08.0,Kevin Durant,MAKE,3,24 ft
20.8 ft,4.68 ft,1,00:20.0,Kevin Durant,MAKE,2,3 ft
18.6 ft,10.2 ft,2,02:15.0,Kevin Durant,MAKE,2,9 ft
44.4 ft,17.9 ft,2,01:50.0,Kevin Durant,MAKE,3,25 ft
22.5 ft,6.17 ft,3,11:35.0,Kevin Durant,MISS,2,3 ft
31.2 ft,15.2 ft,3,10:27.0,Kevin Durant,MAKE,2,14 ft
28.0 ft,3.58 ft,3,07:16.0,Kevin Durant,MAKE,2,4 ft
19.9 ft,3.78 ft,3,00:06.0,Kevin Durant,MISS,2,4 ft
36.5 ft,17.7 ft,4,05:22.0,Kevin Durant,MISS,2,19 ft
46.9 ft,7.26 ft,4,02:40.0,Kevin Durant,MISS,3,23 ft
14.7 ft,17.3 ft,1,04:54.0,Kevin Durant,MISS,2,17 ft
