x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
33.9 ft,17.6 ft,1,03:47.0,Kevin Durant,MISS,2,18 ft
32.9 ft,27.3 ft,1,03:30.0,Kevin Durant,MAKE,3,26 ft
13.9 ft,9.75 ft,1,01:05.0,Kevin Durant,MISS,2,12 ft
21.9 ft,29.1 ft,1,00:47.0,Kevin Durant,MISS,3,26 ft
19.4 ft,14.5 ft,1,00:01.0,Kevin Durant,MAKE,2,12 ft
23.7 ft,4.68 ft,2,05:00.0,Kevin Durant,MISS,2,1 ft
34.3 ft,-0.9 ft,2,04:23.0,Kevin Durant,MISS,2,11 ft
35.8 ft,8.46 ft,2,02:40.0,Kevin Durant,MAKE,2,13 ft
10.5 ft,23.9 ft,2,02:11.0,Kevin Durant,MISS,3,25 ft
12.3 ft,3.58 ft,2,02:01.0,Kevin Durant,MAKE,2,12 ft
17.2 ft,11.2 ft,3,11:06.0,Kevin Durant,MAKE,2,10 ft
28.9 ft,9.75 ft,3,06:05.0,Kevin Durant,MAKE,2,8 ft
28.1 ft,14.0 ft,3,03:55.0,Kevin Durant,MISS,2,12 ft
39.0 ft,24.4 ft,4,08:04.0,Kevin Durant,MISS,3,26 ft
9.8 ft,8.66 ft,4,04:18.0,Kevin Durant,MISS,2,15 ft
34.9 ft,5.67 ft,4,03:11.0,Kevin Durant,MAKE,2,11 ft
23.5 ft,3.78 ft,4,02:51.0,Kevin Durant,MAKE,2,1 ft
39.3 ft,4.28 ft,4,01:40.0,Kevin Durant,MISS,2,15 ft
35.8 ft,17.7 ft,1,10:05.0,Kevin Durant,MAKE,2,19 ft
16.8 ft,12.3 ft,1,08:20.0,Kevin Durant,MAKE,2,12 ft
14.4 ft,18.2 ft,1,07:17.0,Kevin Durant,MAKE,2,18 ft
15.7 ft,8.46 ft,2,05:07.0,Kevin Durant,MISS,2,10 ft
24.0 ft,5.47 ft,2,03:53.0,Kevin Durant,MAKE,2,2 ft
35.5 ft,7.66 ft,2,03:11.0,Kevin Durant,MISS,2,12 ft
33.8 ft,26.8 ft,2,00:54.0,Kevin Durant,MISS,3,26 ft
17.7 ft,23.2 ft,3,09:09.0,Kevin Durant,MAKE,2,21 ft
46.8 ft,6.97 ft,3,06:08.0,Kevin Durant,MISS,3,23 ft
33.5 ft,11.7 ft,3,05:43.0,Kevin Durant,MAKE,2,13 ft
13.0 ft,7.66 ft,3,03:21.0,Kevin Durant,MISS,2,12 ft
37.8 ft,28.2 ft,4,09:28.0,Kevin Durant,MISS,3,29 ft
26.0 ft,5.47 ft,4,07:17.0,Kevin Durant,MISS,2,3 ft
24.0 ft,3.28 ft,4,06:53.0,Kevin Durant,MAKE,2,0 ft
24.3 ft,5.47 ft,4,06:39.0,Kevin Durant,MAKE,2,2 ft
8.79 ft,28.0 ft,4,02:58.0,Kevin Durant,MISS,3,29 ft
12.7 ft,25.5 ft,1,11:37.0,Kevin Durant,MISS,3,25 ft
24.4 ft,15.2 ft,1,08:53.0,Kevin Durant,MISS,2,12 ft
16.5 ft,3.28 ft,1,08:07.0,Kevin Durant,MISS,2,8 ft
35.0 ft,19.7 ft,1,07:08.0,Kevin Durant,MAKE,2,20 ft
35.6 ft,16.8 ft,1,03:22.0,Kevin Durant,MAKE,2,18 ft
18.8 ft,12.3 ft,2,08:29.0,Kevin Durant,MAKE,2,11 ft
13.5 ft,12.1 ft,2,07:48.0,Kevin Durant,MISS,2,14 ft
10.2 ft,24.2 ft,2,06:24.0,Kevin Durant,MISS,3,25 ft
37.6 ft,10.2 ft,2,05:36.0,Kevin Durant,MISS,2,15 ft
45.3 ft,16.3 ft,2,01:59.0,Kevin Durant,MAKE,3,25 ft
35.3 ft,12.6 ft,3,10:48.0,Kevin Durant,MAKE,2,15 ft
42.1 ft,20.0 ft,3,07:38.0,Kevin Durant,MAKE,3,25 ft
34.6 ft,4.58 ft,3,06:59.0,Kevin Durant,MISS,2,11 ft
15.5 ft,12.3 ft,3,05:01.0,Kevin Durant,MISS,2,13 ft
13.6 ft,5.77 ft,3,02:56.0,Kevin Durant,MISS,2,11 ft
23.7 ft,3.88 ft,3,02:28.0,Kevin Durant,MISS,2,1 ft
17.7 ft,29.1 ft,3,01:46.0,Kevin Durant,MAKE,3,27 ft
30.3 ft,27.8 ft,3,00:54.0,Kevin Durant,MISS,3,26 ft
29.2 ft,9.26 ft,3,00:09.0,Kevin Durant,MAKE,2,8 ft
34.9 ft,18.6 ft,4,10:48.0,Kevin Durant,MAKE,2,19 ft
22.6 ft,29.6 ft,4,08:37.0,Kevin Durant,MAKE,3,27 ft
18.0 ft,8.16 ft,4,08:04.0,Kevin Durant,MAKE,2,8 ft
19.4 ft,15.3 ft,4,07:13.0,Kevin Durant,MISS,2,13 ft
24.8 ft,3.58 ft,4,05:33.0,Kevin Durant,MISS,2,1 ft
14.6 ft,16.4 ft,4,04:25.0,Kevin Durant,MISS,2,16 ft
22.9 ft,13.2 ft,4,03:00.0,Kevin Durant,MISS,2,10 ft
23.7 ft,4.28 ft,4,00:45.0,Kevin Durant,MAKE,2,1 ft
21.2 ft,12.2 ft,4,00:16.0,Kevin Durant,MAKE,2,9 ft
35.9 ft,18.3 ft,1,06:55.0,Kevin Durant,MISS,2,19 ft
11.7 ft,26.5 ft,1,05:33.0,Kevin Durant,MISS,3,26 ft
26.0 ft,20.2 ft,1,01:48.0,Kevin Durant,MAKE,2,17 ft
31.5 ft,21.4 ft,2,05:52.0,Kevin Durant,MAKE,2,20 ft
35.3 ft,24.9 ft,2,04:44.0,Kevin Durant,MISS,3,25 ft
26.8 ft,15.5 ft,2,03:14.0,Kevin Durant,MISS,2,13 ft
17.5 ft,15.7 ft,2,02:45.0,Kevin Durant,MISS,2,14 ft
22.8 ft,19.2 ft,2,01:50.0,Kevin Durant,MISS,2,16 ft
30.2 ft,13.2 ft,2,01:19.0,Kevin Durant,MISS,2,12 ft
28.7 ft,12.3 ft,3,10:37.0,Kevin Durant,MAKE,2,10 ft
41.3 ft,20.5 ft,3,09:33.0,Kevin Durant,MISS,3,24 ft
24.8 ft,3.08 ft,3,08:22.0,Kevin Durant,MISS,2,1 ft
39.5 ft,7.86 ft,3,05:54.0,Kevin Durant,MAKE,2,16 ft
13.7 ft,6.27 ft,3,05:22.0,Kevin Durant,MAKE,2,11 ft
36.8 ft,7.96 ft,3,02:29.0,Kevin Durant,MAKE,2,14 ft
40.6 ft,22.2 ft,4,09:54.0,Kevin Durant,MISS,3,25 ft
38.8 ft,11.5 ft,4,09:05.0,Kevin Durant,MISS,2,17 ft
37.4 ft,23.7 ft,4,07:13.0,Kevin Durant,MISS,3,25 ft
38.7 ft,6.17 ft,4,05:16.0,Kevin Durant,MAKE,2,15 ft
39.5 ft,5.77 ft,4,04:28.0,Kevin Durant,MISS,2,16 ft
12.6 ft,6.87 ft,4,03:06.0,Kevin Durant,MAKE,2,12 ft
33.2 ft,18.9 ft,4,01:37.0,Kevin Durant,MAKE,2,18 ft
19.4 ft,5.47 ft,4,00:34.0,Kevin Durant,MISS,2,5 ft
23.1 ft,16.7 ft,1,07:27.0,Kevin Durant,MAKE,2,14 ft
29.7 ft,15.1 ft,1,07:01.0,Kevin Durant,MAKE,2,13 ft
37.7 ft,4.58 ft,1,03:38.0,Kevin Durant,MISS,2,14 ft
18.4 ft,9.06 ft,2,04:29.0,Kevin Durant,MISS,2,8 ft
23.7 ft,4.68 ft,2,01:20.0,Kevin Durant,MAKE,2,1 ft
24.0 ft,3.28 ft,3,08:33.0,Kevin Durant,MAKE,2,0 ft
24.2 ft,3.28 ft,3,06:07.0,Kevin Durant,MAKE,2,0 ft
14.2 ft,8.96 ft,3,01:14.0,Kevin Durant,MISS,2,11 ft
24.0 ft,5.97 ft,3,00:31.0,Kevin Durant,MISS,2,3 ft
23.7 ft,28.3 ft,3,00:00.0,Kevin Durant,MISS,3,25 ft
22.6 ft,9.26 ft,4,07:03.0,Kevin Durant,MAKE,2,6 ft
31.3 ft,15.6 ft,4,06:37.0,Kevin Durant,MAKE,2,14 ft
28.0 ft,15.7 ft,4,06:02.0,Kevin Durant,MAKE,2,13 ft
28.0 ft,6.87 ft,4,04:13.0,Kevin Durant,MISS,2,5 ft
24.4 ft,3.08 ft,4,02:55.0,Kevin Durant,MISS,2,0 ft
30.8 ft,12.1 ft,4,02:32.0,Kevin Durant,MISS,2,11 ft
24.9 ft,11.4 ft,4,01:48.0,Kevin Durant,MISS,2,8 ft
37.4 ft,9.95 ft,4,00:11.0,Kevin Durant,MAKE,2,15 ft
29.2 ft,19.7 ft,1,09:08.0,Kevin Durant,MISS,2,17 ft
20.9 ft,23.1 ft,1,06:27.0,Kevin Durant,MAKE,2,20 ft
30.7 ft,14.8 ft,1,05:12.0,Kevin Durant,MISS,2,13 ft
21.7 ft,13.5 ft,1,03:02.0,Kevin Durant,MISS,2,11 ft
19.4 ft,27.3 ft,1,01:50.0,Kevin Durant,MISS,3,25 ft
36.9 ft,4.08 ft,1,01:44.0,Kevin Durant,MISS,2,13 ft
4.7 ft,8.56 ft,1,00:00.0,Kevin Durant,MISS,2,20 ft
23.5 ft,29.1 ft,2,04:10.0,Kevin Durant,MISS,3,26 ft
25.4 ft,15.1 ft,2,03:48.0,Kevin Durant,MAKE,2,12 ft
24.2 ft,3.28 ft,2,03:15.0,Kevin Durant,MISS,2,0 ft
36.5 ft,4.97 ft,2,03:09.0,Kevin Durant,MAKE,2,13 ft
32.9 ft,18.2 ft,2,02:45.0,Kevin Durant,MAKE,2,17 ft
13.9 ft,7.46 ft,2,00:24.0,Kevin Durant,MAKE,2,11 ft
35.8 ft,17.1 ft,3,11:35.0,Kevin Durant,MAKE,2,18 ft
18.5 ft,13.0 ft,3,09:39.0,Kevin Durant,MISS,2,11 ft
24.5 ft,3.58 ft,3,09:18.0,Kevin Durant,MISS,2,1 ft
21.9 ft,11.7 ft,3,09:16.0,Kevin Durant,MAKE,2,9 ft
46.8 ft,8.76 ft,3,07:02.0,Kevin Durant,MAKE,3,23 ft
8.3 ft,11.4 ft,3,04:15.0,Kevin Durant,MISS,2,18 ft
22.3 ft,28.7 ft,3,00:30.0,Kevin Durant,MISS,3,26 ft
36.5 ft,12.2 ft,4,06:45.0,Kevin Durant,MAKE,2,15 ft
19.5 ft,9.95 ft,4,05:40.0,Kevin Durant,MAKE,2,8 ft
18.2 ft,4.58 ft,4,03:18.0,Kevin Durant,MISS,2,6 ft
30.5 ft,27.3 ft,4,02:40.0,Kevin Durant,MISS,3,25 ft
18.9 ft,27.7 ft,4,00:39.0,Kevin Durant,MAKE,3,25 ft
23.9 ft,3.68 ft,4,00:13.0,Kevin Durant,MAKE,2,0 ft
33.5 ft,14.1 ft,1,10:11.0,Kevin Durant,MAKE,2,14 ft
24.0 ft,3.28 ft,1,05:58.0,Kevin Durant,MAKE,2,0 ft
26.7 ft,16.4 ft,1,04:13.0,Kevin Durant,MISS,2,14 ft
16.0 ft,9.45 ft,1,02:03.0,Kevin Durant,MISS,2,10 ft
11.3 ft,4.38 ft,1,01:05.0,Kevin Durant,MAKE,2,13 ft
31.4 ft,26.5 ft,1,00:01.0,Kevin Durant,MISS,3,25 ft
15.4 ft,26.2 ft,2,03:49.0,Kevin Durant,MISS,3,25 ft
40.8 ft,6.37 ft,2,00:59.0,Kevin Durant,MAKE,2,17 ft
25.9 ft,15.5 ft,3,11:28.0,Kevin Durant,MISS,2,12 ft
24.7 ft,15.9 ft,3,07:52.0,Kevin Durant,MISS,2,13 ft
23.9 ft,7.26 ft,3,07:48.0,Kevin Durant,MISS,2,4 ft
34.6 ft,6.67 ft,3,07:11.0,Kevin Durant,MAKE,2,11 ft
37.7 ft,7.66 ft,3,05:41.0,Kevin Durant,MISS,2,14 ft
36.4 ft,10.2 ft,3,04:37.0,Kevin Durant,MISS,2,14 ft
24.3 ft,28.0 ft,3,02:01.0,Kevin Durant,MISS,3,25 ft
12.5 ft,18.2 ft,3,01:01.0,Kevin Durant,MISS,2,19 ft
37.8 ft,8.26 ft,4,11:29.0,Kevin Durant,MAKE,2,15 ft
38.8 ft,23.1 ft,4,09:56.0,Kevin Durant,MAKE,3,25 ft
34.5 ft,8.76 ft,4,08:30.0,Kevin Durant,MISS,2,12 ft
31.4 ft,15.7 ft,4,07:10.0,Kevin Durant,MAKE,2,15 ft
21.7 ft,17.7 ft,4,04:49.0,Kevin Durant,MAKE,2,15 ft
10.1 ft,5.27 ft,4,01:01.0,Kevin Durant,MAKE,2,14 ft
16.7 ft,7.66 ft,1,09:18.0,Kevin Durant,MISS,2,8 ft
23.5 ft,13.5 ft,1,08:31.0,Kevin Durant,MAKE,2,10 ft
21.9 ft,13.8 ft,1,07:12.0,Kevin Durant,MAKE,2,11 ft
24.2 ft,2.29 ft,1,06:20.0,Kevin Durant,MAKE,2,1 ft
24.8 ft,4.87 ft,1,04:15.0,Kevin Durant,MAKE,2,2 ft
27.3 ft,10.7 ft,1,01:02.0,Kevin Durant,MISS,2,8 ft
34.4 ft,4.68 ft,1,00:31.0,Kevin Durant,MAKE,2,11 ft
24.4 ft,3.58 ft,1,00:05.0,Kevin Durant,MAKE,2,1 ft
27.0 ft,28.5 ft,2,02:57.0,Kevin Durant,MAKE,3,26 ft
21.7 ft,15.2 ft,2,02:04.0,Kevin Durant,MAKE,2,12 ft
22.7 ft,4.28 ft,3,08:52.0,Kevin Durant,MISS,2,2 ft
22.2 ft,14.6 ft,3,08:15.0,Kevin Durant,MISS,2,12 ft
23.7 ft,3.68 ft,3,06:23.0,Kevin Durant,MAKE,2,0 ft
7.8 ft,23.9 ft,3,04:18.0,Kevin Durant,MISS,3,26 ft
21.2 ft,15.3 ft,3,04:13.0,Kevin Durant,MISS,2,12 ft
24.2 ft,4.28 ft,3,02:30.0,Kevin Durant,MISS,2,1 ft
8.5 ft,7.26 ft,3,02:28.0,Kevin Durant,MAKE,2,16 ft
26.1 ft,29.1 ft,3,00:03.0,Kevin Durant,MISS,3,26 ft
9.70 ft,25.6 ft,4,07:41.0,Kevin Durant,MISS,3,27 ft
33.6 ft,19.2 ft,4,07:02.0,Kevin Durant,MAKE,2,19 ft
14.2 ft,14.5 ft,4,03:55.0,Kevin Durant,MISS,2,15 ft
11.4 ft,16.6 ft,4,02:14.0,Kevin Durant,MAKE,2,18 ft
15.0 ft,8.16 ft,1,08:08.0,Kevin Durant,MISS,2,10 ft
38.0 ft,11.7 ft,1,06:49.0,Kevin Durant,MISS,2,16 ft
13.2 ft,27.2 ft,1,06:29.0,Kevin Durant,MAKE,3,26 ft
35.0 ft,16.1 ft,1,04:18.0,Kevin Durant,MAKE,2,17 ft
16.2 ft,9.85 ft,1,02:44.0,Kevin Durant,MAKE,2,10 ft
43.7 ft,34.6 ft,1,00:00.0,Kevin Durant,MISS,3,37 ft
33.0 ft,7.16 ft,2,05:06.0,Kevin Durant,MAKE,2,10 ft
15.7 ft,18.3 ft,2,04:46.0,Kevin Durant,MISS,2,17 ft
15.5 ft,27.4 ft,2,04:40.0,Kevin Durant,MAKE,3,26 ft
30.7 ft,21.1 ft,2,04:02.0,Kevin Durant,MISS,2,19 ft
34.3 ft,27.5 ft,2,03:44.0,Kevin Durant,MISS,3,26 ft
36.4 ft,5.27 ft,2,03:33.0,Kevin Durant,MISS,2,13 ft
32.6 ft,8.16 ft,2,01:57.0,Kevin Durant,MAKE,2,10 ft
24.7 ft,10.1 ft,2,00:21.0,Kevin Durant,MISS,2,7 ft
26.2 ft,3.78 ft,3,11:15.0,Kevin Durant,MAKE,2,2 ft
32.3 ft,8.76 ft,3,10:34.0,Kevin Durant,MAKE,2,10 ft
21.4 ft,4.28 ft,3,10:02.0,Kevin Durant,MAKE,2,3 ft
24.0 ft,5.37 ft,3,07:28.0,Kevin Durant,MAKE,2,2 ft
22.5 ft,3.48 ft,3,06:29.0,Kevin Durant,MAKE,2,2 ft
16.1 ft,29.1 ft,3,05:52.0,Kevin Durant,MAKE,3,27 ft
9.6 ft,28.3 ft,3,03:46.0,Kevin Durant,MAKE,3,29 ft
36.0 ft,26.1 ft,3,01:25.0,Kevin Durant,MISS,3,26 ft
30.0 ft,28.8 ft,4,11:04.0,Kevin Durant,MAKE,3,26 ft
35.3 ft,26.6 ft,4,08:54.0,Kevin Durant,MISS,3,26 ft
30.9 ft,9.55 ft,4,08:26.0,Kevin Durant,MISS,2,9 ft
18.6 ft,11.7 ft,4,08:08.0,Kevin Durant,MISS,2,10 ft
21.7 ft,30.5 ft,4,05:02.0,Kevin Durant,MISS,3,28 ft
33.0 ft,9.06 ft,4,03:17.0,Kevin Durant,MISS,2,11 ft
15.0 ft,8.86 ft,4,02:12.0,Kevin Durant,MISS,2,11 ft
26.5 ft,3.88 ft,4,01:47.0,Kevin Durant,MAKE,2,3 ft
31.6 ft,3.88 ft,4,01:20.0,Kevin Durant,MAKE,2,8 ft
28.2 ft,5.67 ft,1,10:16.0,Kevin Durant,MISS,2,5 ft
31.4 ft,5.07 ft,1,09:11.0,Kevin Durant,MAKE,2,8 ft
22.1 ft,30.4 ft,1,05:21.0,Kevin Durant,MISS,3,27 ft
33.1 ft,2.38 ft,1,04:27.0,Kevin Durant,MAKE,2,9 ft
34.8 ft,3.08 ft,2,06:44.0,Kevin Durant,MISS,2,11 ft
25.4 ft,7.66 ft,2,05:21.0,Kevin Durant,MISS,2,5 ft
24.2 ft,3.78 ft,2,04:26.0,Kevin Durant,MAKE,2,1 ft
20.7 ft,11.4 ft,2,03:08.0,Kevin Durant,MAKE,2,9 ft
26.3 ft,4.58 ft,2,01:49.0,Kevin Durant,MISS,2,3 ft
28.4 ft,4.28 ft,2,01:29.0,Kevin Durant,MISS,2,5 ft
31.3 ft,17.5 ft,2,00:56.0,Kevin Durant,MISS,2,16 ft
20.3 ft,10.7 ft,2,00:11.0,Kevin Durant,MAKE,2,8 ft
31.3 ft,7.66 ft,3,10:58.0,Kevin Durant,MISS,2,9 ft
7.7 ft,24.6 ft,3,10:04.0,Kevin Durant,MISS,3,27 ft
23.7 ft,28.3 ft,3,07:23.0,Kevin Durant,MAKE,3,25 ft
31.9 ft,3.08 ft,3,05:39.0,Kevin Durant,MAKE,2,8 ft
46.7 ft,4.97 ft,3,01:53.0,Kevin Durant,MAKE,3,23 ft
35.0 ft,16.1 ft,3,00:17.0,Kevin Durant,MAKE,2,17 ft
26.6 ft,22.7 ft,4,09:29.0,Kevin Durant,MISS,2,20 ft
40.5 ft,25.3 ft,4,05:27.0,Kevin Durant,MISS,3,28 ft
8.20 ft,22.8 ft,4,04:48.0,Kevin Durant,MISS,3,25 ft
18.0 ft,30.1 ft,4,03:56.0,Kevin Durant,MISS,3,28 ft
8.20 ft,26.1 ft,4,01:33.0,Kevin Durant,MISS,3,28 ft
13.2 ft,4.58 ft,1,11:45.0,Kevin Durant,MAKE,2,11 ft
35.4 ft,7.36 ft,1,08:42.0,Kevin Durant,MAKE,2,12 ft
10.4 ft,9.26 ft,1,07:41.0,Kevin Durant,MISS,2,15 ft
14.2 ft,27.1 ft,1,05:52.0,Kevin Durant,MISS,3,26 ft
24.0 ft,3.28 ft,1,04:26.0,Kevin Durant,MAKE,2,0 ft
37.0 ft,9.75 ft,1,03:09.0,Kevin Durant,MISS,2,15 ft
14.2 ft,9.55 ft,1,00:44.0,Kevin Durant,MAKE,2,12 ft
37.4 ft,12.2 ft,2,05:43.0,Kevin Durant,MAKE,2,16 ft
23.4 ft,15.1 ft,2,03:49.0,Kevin Durant,MISS,2,12 ft
24.2 ft,14.5 ft,2,02:36.0,Kevin Durant,MAKE,2,11 ft
24.0 ft,21.9 ft,3,11:26.0,Kevin Durant,MISS,2,19 ft
16.1 ft,14.6 ft,3,08:55.0,Kevin Durant,MISS,2,14 ft
30.0 ft,12.7 ft,3,06:41.0,Kevin Durant,MISS,2,11 ft
36.0 ft,14.7 ft,3,05:12.0,Kevin Durant,MAKE,2,17 ft
25.6 ft,2.88 ft,3,04:44.0,Kevin Durant,MAKE,2,2 ft
14.3 ft,9.75 ft,3,04:13.0,Kevin Durant,MAKE,2,12 ft
33.9 ft,21.2 ft,3,02:06.0,Kevin Durant,MISS,2,21 ft
31.9 ft,14.9 ft,4,07:11.0,Kevin Durant,MISS,2,14 ft
29.5 ft,10.4 ft,4,05:08.0,Kevin Durant,MISS,2,9 ft
20.2 ft,28.5 ft,4,04:44.0,Kevin Durant,MAKE,3,26 ft
36.6 ft,14.3 ft,4,03:32.0,Kevin Durant,MISS,2,17 ft
32.1 ft,16.6 ft,4,02:54.0,Kevin Durant,MAKE,2,16 ft
23.7 ft,28.1 ft,4,01:46.0,Kevin Durant,MAKE,3,25 ft
19.4 ft,6.67 ft,4,00:35.0,Kevin Durant,MAKE,2,6 ft
10.4 ft,14.2 ft,1,10:32.0,Kevin Durant,MISS,2,18 ft
7.7 ft,23.5 ft,1,09:12.0,Kevin Durant,MAKE,3,26 ft
23.7 ft,4.08 ft,1,07:11.0,Kevin Durant,MAKE,2,1 ft
16.8 ft,7.96 ft,1,06:45.0,Kevin Durant,MAKE,2,9 ft
21.6 ft,14.7 ft,1,02:51.0,Kevin Durant,MISS,2,12 ft
24.5 ft,3.28 ft,1,01:18.0,Kevin Durant,MISS,2,1 ft
10.1 ft,13.0 ft,1,00:16.0,Kevin Durant,MISS,2,17 ft
33.3 ft,8.76 ft,2,05:14.0,Kevin Durant,MAKE,2,11 ft
14.0 ft,26.2 ft,2,01:32.0,Kevin Durant,MISS,3,25 ft
35.6 ft,2.78 ft,2,01:27.0,Kevin Durant,MAKE,2,12 ft
12.3 ft,25.6 ft,3,10:19.0,Kevin Durant,MISS,3,25 ft
28.4 ft,11.5 ft,3,08:17.0,Kevin Durant,MAKE,2,9 ft
11.2 ft,24.4 ft,3,07:07.0,Kevin Durant,MISS,3,25 ft
23.1 ft,11.6 ft,3,05:57.0,Kevin Durant,MISS,2,8 ft
28.5 ft,18.1 ft,3,05:01.0,Kevin Durant,MAKE,2,16 ft
8.9 ft,22.6 ft,3,04:16.0,Kevin Durant,MAKE,3,25 ft
23.7 ft,28.2 ft,3,03:53.0,Kevin Durant,MAKE,3,25 ft
30.9 ft,12.2 ft,3,02:23.0,Kevin Durant,MISS,2,11 ft
21.4 ft,18.2 ft,3,01:34.0,Kevin Durant,MAKE,2,15 ft
10.8 ft,24.6 ft,3,01:05.0,Kevin Durant,MISS,3,25 ft
15.5 ft,12.7 ft,4,05:33.0,Kevin Durant,MAKE,2,13 ft
18.7 ft,23.9 ft,4,04:53.0,Kevin Durant,MAKE,2,22 ft
25.4 ft,17.9 ft,4,03:03.0,Kevin Durant,MAKE,2,15 ft
32.9 ft,26.3 ft,4,02:06.0,Kevin Durant,MISS,3,25 ft
39.0 ft,13.2 ft,1,09:34.0,Kevin Durant,MAKE,2,18 ft
25.3 ft,14.5 ft,1,07:38.0,Kevin Durant,MISS,2,11 ft
33.7 ft,19.7 ft,1,07:13.0,Kevin Durant,MISS,2,19 ft
29.7 ft,12.5 ft,1,05:59.0,Kevin Durant,MISS,2,11 ft
28.5 ft,14.7 ft,1,05:21.0,Kevin Durant,MISS,2,12 ft
18.2 ft,27.5 ft,1,05:05.0,Kevin Durant,MAKE,3,25 ft
25.6 ft,3.28 ft,1,02:54.0,Kevin Durant,MAKE,2,2 ft
21.7 ft,28.3 ft,1,02:15.0,Kevin Durant,MISS,3,25 ft
13.5 ft,13.1 ft,2,05:44.0,Kevin Durant,MISS,2,14 ft
16.6 ft,23.1 ft,2,05:04.0,Kevin Durant,MISS,2,21 ft
19.6 ft,14.7 ft,2,04:22.0,Kevin Durant,MAKE,2,12 ft
38.4 ft,5.47 ft,2,02:27.0,Kevin Durant,MAKE,2,15 ft
19.4 ft,10.2 ft,2,00:02.0,Kevin Durant,MAKE,2,8 ft
28.0 ft,19.1 ft,3,10:23.0,Kevin Durant,MAKE,2,16 ft
23.7 ft,17.1 ft,3,09:23.0,Kevin Durant,MAKE,2,14 ft
23.4 ft,3.88 ft,3,08:55.0,Kevin Durant,MAKE,2,1 ft
28.9 ft,14.0 ft,3,06:45.0,Kevin Durant,MISS,2,12 ft
23.4 ft,14.8 ft,3,00:30.0,Kevin Durant,MISS,2,12 ft
33.6 ft,12.7 ft,3,00:02.0,Kevin Durant,MISS,2,14 ft
15.7 ft,28.3 ft,4,07:01.0,Kevin Durant,MAKE,3,27 ft
23.7 ft,30.1 ft,4,03:56.0,Kevin Durant,MISS,3,27 ft
34.3 ft,18.9 ft,4,02:17.0,Kevin Durant,MAKE,2,19 ft
30.9 ft,28.2 ft,4,00:21.0,Kevin Durant,MISS,3,26 ft
13.8 ft,27.3 ft,4,00:01.0,Kevin Durant,MISS,3,26 ft
33.5 ft,19.0 ft,1,10:54.0,Kevin Durant,MISS,2,18 ft
