x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
29.5 ft,9.75 ft,1,10:01.0,Kevin Durant,MISS,2,9 ft
24.0 ft,1.79 ft,1,09:12.0,Kevin Durant,MAKE,2,1 ft
25.8 ft,17.4 ft,1,07:56.0,Kevin Durant,MISS,2,14 ft
39.3 ft,22.7 ft,1,06:03.0,Kevin Durant,MISS,3,25 ft
38.5 ft,23.0 ft,1,04:37.0,Kevin Durant,MAKE,3,25 ft
31.4 ft,12.5 ft,1,03:34.0,Kevin Durant,MISS,2,12 ft
24.6 ft,3.88 ft,1,02:46.0,Kevin Durant,MAKE,2,1 ft
17.9 ft,10.4 ft,1,01:30.0,Kevin Durant,MAKE,2,9 ft
24.7 ft,16.6 ft,1,00:04.0,Kevin Durant,MAKE,2,13 ft
47.3 ft,6.67 ft,2,06:41.0,Kevin Durant,MISS,3,24 ft
36.5 ft,20.2 ft,2,05:28.0,Kevin Durant,MISS,2,21 ft
14.8 ft,9.26 ft,2,04:12.0,Kevin Durant,MISS,2,11 ft
13.7 ft,12.7 ft,2,02:47.0,Kevin Durant,MISS,2,14 ft
47.0 ft,7.86 ft,2,01:49.0,Kevin Durant,MISS,3,23 ft
33.7 ft,16.7 ft,2,00:49.0,Kevin Durant,MISS,2,17 ft
20.2 ft,14.8 ft,3,11:21.0,Kevin Durant,MAKE,2,12 ft
15.9 ft,28.1 ft,3,10:43.0,Kevin Durant,MAKE,3,26 ft
23.2 ft,7.86 ft,3,08:19.0,Kevin Durant,MISS,2,5 ft
30.4 ft,28.1 ft,3,05:28.0,Kevin Durant,MISS,3,26 ft
21.5 ft,28.6 ft,3,05:04.0,Kevin Durant,MISS,3,26 ft
26.3 ft,15.1 ft,3,03:43.0,Kevin Durant,MAKE,2,12 ft
25.9 ft,3.58 ft,3,03:12.0,Kevin Durant,MISS,2,2 ft
18.0 ft,27.7 ft,3,01:48.0,Kevin Durant,MISS,3,25 ft
24.0 ft,16.3 ft,1,11:01.0,Kevin Durant,MAKE,2,13 ft
12.7 ft,7.86 ft,1,10:28.0,Kevin Durant,MISS,2,12 ft
24.2 ft,11.0 ft,1,09:50.0,Kevin Durant,MAKE,2,8 ft
42.9 ft,18.7 ft,1,08:24.0,Kevin Durant,MAKE,3,24 ft
28.2 ft,21.7 ft,1,07:35.0,Kevin Durant,MISS,2,19 ft
10.1 ft,13.1 ft,1,06:13.0,Kevin Durant,MISS,2,17 ft
42.6 ft,12.7 ft,1,03:47.0,Kevin Durant,MAKE,2,21 ft
41.3 ft,24.9 ft,1,02:53.0,Kevin Durant,MISS,3,28 ft
11.6 ft,3.08 ft,1,01:50.0,Kevin Durant,MAKE,2,12 ft
24.2 ft,3.68 ft,1,00:17.0,Kevin Durant,MAKE,2,0 ft
33.8 ft,17.8 ft,2,04:23.0,Kevin Durant,MAKE,2,18 ft
30.8 ft,6.77 ft,2,03:26.0,Kevin Durant,MAKE,2,8 ft
46.3 ft,15.3 ft,3,08:42.0,Kevin Durant,MISS,3,25 ft
23.9 ft,4.08 ft,3,06:38.0,Kevin Durant,MAKE,2,1 ft
25.7 ft,28.7 ft,3,06:06.0,Kevin Durant,MISS,3,26 ft
33.8 ft,10.7 ft,3,04:10.0,Kevin Durant,MAKE,2,12 ft
33.1 ft,26.3 ft,3,03:43.0,Kevin Durant,MAKE,3,25 ft
14.4 ft,11.5 ft,3,01:53.0,Kevin Durant,MAKE,2,13 ft
35.6 ft,8.16 ft,4,09:51.0,Kevin Durant,MISS,2,13 ft
24.8 ft,10.5 ft,4,09:31.0,Kevin Durant,MAKE,2,7 ft
28.0 ft,28.7 ft,4,09:06.0,Kevin Durant,MISS,3,26 ft
27.0 ft,5.17 ft,4,08:22.0,Kevin Durant,MISS,2,4 ft
25.9 ft,15.2 ft,4,03:39.0,Kevin Durant,MAKE,2,12 ft
36.1 ft,17.8 ft,4,00:41.0,Kevin Durant,MAKE,2,19 ft
14.2 ft,5.37 ft,1,10:24.0,Kevin Durant,MAKE,2,10 ft
13.4 ft,10.7 ft,1,08:14.0,Kevin Durant,MISS,2,13 ft
16.3 ft,5.37 ft,1,05:44.0,Kevin Durant,MISS,2,8 ft
37.1 ft,5.77 ft,1,05:01.0,Kevin Durant,MISS,2,13 ft
34.2 ft,16.9 ft,1,02:44.0,Kevin Durant,MAKE,2,17 ft
22.2 ft,19.5 ft,1,00:21.0,Kevin Durant,MISS,2,16 ft
17.1 ft,8.46 ft,2,05:44.0,Kevin Durant,MAKE,2,9 ft
26.1 ft,8.06 ft,2,03:58.0,Kevin Durant,MISS,2,5 ft
25.4 ft,4.08 ft,2,03:26.0,Kevin Durant,MAKE,2,2 ft
34.0 ft,26.3 ft,2,02:55.0,Kevin Durant,MAKE,3,25 ft
24.0 ft,3.78 ft,2,01:38.0,Kevin Durant,MAKE,2,1 ft
22.2 ft,3.18 ft,3,10:16.0,Kevin Durant,MAKE,2,2 ft
20.0 ft,14.6 ft,3,09:00.0,Kevin Durant,MISS,2,12 ft
34.1 ft,7.16 ft,3,08:18.0,Kevin Durant,MISS,2,11 ft
38.0 ft,9.06 ft,3,06:49.0,Kevin Durant,MAKE,2,15 ft
39.3 ft,22.7 ft,3,03:23.0,Kevin Durant,MISS,3,25 ft
24.9 ft,3.88 ft,3,00:03.0,Kevin Durant,MAKE,2,1 ft
26.0 ft,3.88 ft,4,11:42.0,Kevin Durant,MAKE,2,2 ft
47.0 ft,13.6 ft,4,09:34.0,Kevin Durant,MISS,3,25 ft
19.7 ft,28.8 ft,1,11:02.0,Kevin Durant,MAKE,3,26 ft
16.8 ft,28.8 ft,1,06:45.0,Kevin Durant,MISS,3,27 ft
24.2 ft,3.68 ft,1,05:43.0,Kevin Durant,MAKE,2,0 ft
24.2 ft,21.2 ft,1,05:10.0,Kevin Durant,MAKE,2,18 ft
9.6 ft,6.87 ft,1,03:50.0,Kevin Durant,MAKE,2,15 ft
30.9 ft,6.37 ft,1,02:59.0,Kevin Durant,MISS,2,8 ft
18.2 ft,16.3 ft,1,00:58.0,Kevin Durant,MAKE,2,14 ft
35.9 ft,3.78 ft,2,04:42.0,Kevin Durant,MAKE,2,12 ft
23.5 ft,4.08 ft,2,02:16.0,Kevin Durant,MAKE,2,1 ft
38.4 ft,12.7 ft,3,03:47.0,Kevin Durant,MAKE,2,17 ft
24.0 ft,3.18 ft,3,00:29.0,Kevin Durant,MISS,2,0 ft
11.7 ft,3.58 ft,3,00:27.0,Kevin Durant,MAKE,2,12 ft
30.3 ft,14.5 ft,4,04:01.0,Kevin Durant,MAKE,2,13 ft
30.9 ft,12.8 ft,4,02:39.0,Kevin Durant,MISS,2,12 ft
23.3 ft,25.2 ft,4,01:30.0,Kevin Durant,MISS,2,22 ft
35.8 ft,11.7 ft,4,00:35.0,Kevin Durant,MISS,2,15 ft
24.0 ft,28.5 ft,4,00:03.0,Kevin Durant,MISS,3,25 ft
29.0 ft,9.75 ft,1,10:50.0,Kevin Durant,MAKE,2,8 ft
8.5 ft,5.67 ft,1,06:51.0,Kevin Durant,MISS,2,16 ft
40.4 ft,23.1 ft,1,01:13.0,Kevin Durant,MAKE,3,26 ft
22.3 ft,17.6 ft,2,06:08.0,Kevin Durant,MAKE,2,15 ft
32.4 ft,28.1 ft,2,05:10.0,Kevin Durant,MISS,3,26 ft
1.5 ft,14.9 ft,2,03:56.0,Kevin Durant,MAKE,3,25 ft
35.6 ft,28.6 ft,2,03:38.0,Kevin Durant,MISS,3,28 ft
28.7 ft,17.7 ft,2,01:24.0,Kevin Durant,MISS,2,15 ft
24.2 ft,22.8 ft,2,01:02.0,Kevin Durant,MAKE,2,20 ft
9.8 ft,25.1 ft,3,11:07.0,Kevin Durant,MISS,3,26 ft
18.4 ft,13.3 ft,3,08:23.0,Kevin Durant,MAKE,2,12 ft
20.1 ft,29.1 ft,3,04:05.0,Kevin Durant,MISS,3,26 ft
26.0 ft,15.2 ft,3,03:28.0,Kevin Durant,MAKE,2,12 ft
33.3 ft,4.68 ft,4,07:17.0,Kevin Durant,MAKE,2,9 ft
11.4 ft,27.3 ft,4,05:50.0,Kevin Durant,MISS,3,27 ft
28.2 ft,3.88 ft,4,03:36.0,Kevin Durant,MISS,2,4 ft
17.7 ft,5.27 ft,4,02:44.0,Kevin Durant,MISS,2,7 ft
22.3 ft,6.77 ft,4,02:03.0,Kevin Durant,MISS,2,4 ft
23.9 ft,3.18 ft,4,01:29.0,Kevin Durant,MAKE,2,0 ft
24.3 ft,4.28 ft,1,10:03.0,Kevin Durant,MAKE,2,1 ft
39.8 ft,24.2 ft,1,04:19.0,Kevin Durant,MAKE,3,26 ft
25.3 ft,18.2 ft,2,05:39.0,Kevin Durant,MAKE,2,15 ft
33.8 ft,3.78 ft,2,04:37.0,Kevin Durant,MISS,2,10 ft
-0.1 ft,6.77 ft,3,11:06.0,Kevin Durant,MAKE,3,24 ft
32.8 ft,19.4 ft,3,10:24.0,Kevin Durant,MAKE,2,18 ft
37.3 ft,15.1 ft,3,03:37.0,Kevin Durant,MAKE,2,18 ft
39.0 ft,22.3 ft,3,01:43.0,Kevin Durant,MAKE,3,24 ft
40.4 ft,3.08 ft,3,01:21.0,Kevin Durant,MISS,2,16 ft
30.0 ft,28.8 ft,3,00:57.0,Kevin Durant,MISS,3,26 ft
36.3 ft,13.5 ft,1,11:41.0,Kevin Durant,MAKE,2,16 ft
35.5 ft,25.3 ft,1,10:41.0,Kevin Durant,MISS,3,25 ft
33.7 ft,22.6 ft,1,07:51.0,Kevin Durant,MISS,2,22 ft
23.5 ft,19.7 ft,1,07:03.0,Kevin Durant,MAKE,2,17 ft
13.7 ft,18.4 ft,1,05:35.0,Kevin Durant,MISS,2,18 ft
19.7 ft,27.6 ft,1,05:25.0,Kevin Durant,MAKE,3,25 ft
36.1 ft,14.3 ft,1,03:08.0,Kevin Durant,MAKE,2,16 ft
33.4 ft,20.4 ft,2,05:48.0,Kevin Durant,MISS,2,20 ft
33.1 ft,27.1 ft,1,11:41.0,Kevin Durant,MISS,3,26 ft
46.3 ft,14.0 ft,1,09:03.0,Kevin Durant,MISS,3,25 ft
22.2 ft,23.6 ft,1,08:15.0,Kevin Durant,MAKE,2,21 ft
22.1 ft,19.7 ft,1,07:46.0,Kevin Durant,MAKE,2,17 ft
31.9 ft,2.68 ft,1,06:28.0,Kevin Durant,MAKE,2,8 ft
20.3 ft,13.0 ft,1,04:41.0,Kevin Durant,MAKE,2,10 ft
30.2 ft,17.3 ft,2,02:27.0,Kevin Durant,MAKE,2,15 ft
17.2 ft,14.6 ft,2,01:52.0,Kevin Durant,MAKE,2,13 ft
15.2 ft,27.6 ft,2,01:28.0,Kevin Durant,MAKE,3,26 ft
19.7 ft,18.2 ft,2,00:56.0,Kevin Durant,MISS,2,16 ft
26.2 ft,16.7 ft,3,11:21.0,Kevin Durant,MISS,2,14 ft
31.7 ft,12.6 ft,3,09:59.0,Kevin Durant,MISS,2,12 ft
35.0 ft,11.0 ft,3,07:02.0,Kevin Durant,MISS,2,14 ft
33.3 ft,26.3 ft,3,06:37.0,Kevin Durant,MISS,3,25 ft
24.6 ft,28.9 ft,3,05:34.0,Kevin Durant,MISS,3,26 ft
23.3 ft,28.7 ft,3,02:39.0,Kevin Durant,MAKE,3,26 ft
33.9 ft,12.0 ft,3,00:51.0,Kevin Durant,MAKE,2,13 ft
20.9 ft,9.06 ft,4,06:36.0,Kevin Durant,MISS,2,7 ft
24.9 ft,15.4 ft,4,02:48.0,Kevin Durant,MAKE,2,12 ft
29.0 ft,27.7 ft,4,00:57.0,Kevin Durant,MISS,3,25 ft
20.0 ft,7.46 ft,4,00:30.0,Kevin Durant,MISS,2,6 ft
26.9 ft,17.3 ft,1,10:24.0,Kevin Durant,MAKE,2,14 ft
30.9 ft,30.4 ft,1,09:57.0,Kevin Durant,MAKE,3,28 ft
31.4 ft,15.8 ft,1,09:25.0,Kevin Durant,MISS,2,15 ft
32.9 ft,27.3 ft,1,08:46.0,Kevin Durant,MAKE,3,26 ft
37.8 ft,12.1 ft,1,05:20.0,Kevin Durant,MAKE,2,16 ft
10.2 ft,24.7 ft,2,07:33.0,Kevin Durant,MAKE,3,26 ft
10.1 ft,24.1 ft,2,05:32.0,Kevin Durant,MISS,3,25 ft
25.4 ft,4.08 ft,2,02:43.0,Kevin Durant,MAKE,2,2 ft
6.2 ft,21.2 ft,2,02:10.0,Kevin Durant,MISS,3,25 ft
24.4 ft,19.5 ft,3,09:33.0,Kevin Durant,MISS,2,16 ft
22.4 ft,5.27 ft,3,08:13.0,Kevin Durant,MAKE,2,3 ft
32.0 ft,28.6 ft,3,03:00.0,Kevin Durant,MAKE,3,27 ft
39.3 ft,25.5 ft,3,02:29.0,Kevin Durant,MISS,3,27 ft
16.9 ft,17.7 ft,3,01:19.0,Kevin Durant,MAKE,2,16 ft
18.0 ft,17.3 ft,3,00:52.0,Kevin Durant,MISS,2,15 ft
29.4 ft,20.0 ft,4,07:21.0,Kevin Durant,MISS,2,18 ft
34.3 ft,13.0 ft,4,06:08.0,Kevin Durant,MAKE,2,14 ft
38.4 ft,16.7 ft,4,05:37.0,Kevin Durant,MAKE,2,20 ft
7.6 ft,28.0 ft,4,01:19.0,Kevin Durant,MISS,3,30 ft
22.9 ft,16.7 ft,4,01:03.0,Kevin Durant,MAKE,2,14 ft
28.4 ft,31.3 ft,4,00:34.0,Kevin Durant,MISS,3,29 ft
31.9 ft,22.2 ft,1,09:48.0,Kevin Durant,MAKE,2,21 ft
20.7 ft,28.2 ft,1,06:37.0,Kevin Durant,MISS,3,25 ft
24.2 ft,28.5 ft,1,06:08.0,Kevin Durant,MAKE,3,25 ft
24.8 ft,4.38 ft,1,05:08.0,Kevin Durant,MAKE,2,1 ft
16.7 ft,5.27 ft,1,04:13.0,Kevin Durant,MISS,2,8 ft
9.2 ft,8.26 ft,2,01:34.0,Kevin Durant,MISS,2,16 ft
25.2 ft,4.08 ft,2,00:49.0,Kevin Durant,MAKE,2,1 ft
23.5 ft,29.0 ft,3,09:26.0,Kevin Durant,MISS,3,26 ft
26.5 ft,18.7 ft,3,05:20.0,Kevin Durant,MISS,2,16 ft
18.7 ft,12.3 ft,3,02:44.0,Kevin Durant,MISS,2,11 ft
38.4 ft,2.88 ft,4,08:08.0,Kevin Durant,MISS,2,14 ft
12.2 ft,8.76 ft,4,05:38.0,Kevin Durant,MAKE,2,13 ft
26.3 ft,4.18 ft,4,01:36.0,Kevin Durant,MAKE,2,3 ft
32.2 ft,6.17 ft,1,11:15.0,Kevin Durant,MAKE,2,9 ft
22.7 ft,3.68 ft,1,10:14.0,Kevin Durant,MAKE,2,1 ft
24.4 ft,19.9 ft,1,08:46.0,Kevin Durant,MAKE,2,17 ft
24.4 ft,19.5 ft,1,07:42.0,Kevin Durant,MAKE,2,16 ft
12.2 ft,28.2 ft,1,01:49.0,Kevin Durant,MAKE,3,28 ft
25.4 ft,29.5 ft,1,01:20.0,Kevin Durant,MISS,3,26 ft
38.3 ft,24.2 ft,2,07:31.0,Kevin Durant,MAKE,3,26 ft
22.1 ft,3.58 ft,2,04:09.0,Kevin Durant,MAKE,2,2 ft
5.2 ft,2.09 ft,2,01:41.0,Kevin Durant,MISS,2,19 ft
27.0 ft,27.3 ft,3,10:31.0,Kevin Durant,MAKE,3,24 ft
15.8 ft,12.1 ft,3,09:46.0,Kevin Durant,MISS,2,12 ft
21.0 ft,12.3 ft,3,07:27.0,Kevin Durant,MAKE,2,10 ft
33.0 ft,27.7 ft,3,06:26.0,Kevin Durant,MISS,3,26 ft
17.2 ft,20.2 ft,3,04:45.0,Kevin Durant,MISS,2,18 ft
35.8 ft,19.9 ft,3,01:41.0,Kevin Durant,MISS,2,20 ft
14.4 ft,9.06 ft,3,00:49.0,Kevin Durant,MAKE,2,11 ft
28.1 ft,30.3 ft,3,00:03.0,Kevin Durant,MISS,3,28 ft
35.6 ft,5.17 ft,1,11:48.0,Kevin Durant,MISS,2,12 ft
30.7 ft,3.38 ft,1,11:06.0,Kevin Durant,MAKE,2,7 ft
35.3 ft,12.2 ft,1,08:29.0,Kevin Durant,MAKE,2,15 ft
24.3 ft,12.5 ft,1,07:47.0,Kevin Durant,MISS,2,9 ft
35.4 ft,3.38 ft,1,07:22.0,Kevin Durant,MAKE,2,11 ft
22.4 ft,29.2 ft,1,06:35.0,Kevin Durant,MAKE,3,26 ft
27.0 ft,28.6 ft,1,04:31.0,Kevin Durant,MAKE,3,26 ft
35.4 ft,2.78 ft,1,03:54.0,Kevin Durant,MISS,2,11 ft
17.7 ft,21.2 ft,1,01:40.0,Kevin Durant,MAKE,2,19 ft
40.3 ft,21.7 ft,1,01:10.0,Kevin Durant,MISS,3,25 ft
25.5 ft,29.3 ft,1,00:00.0,Kevin Durant,MISS,3,26 ft
26.8 ft,19.1 ft,2,07:24.0,Kevin Durant,MAKE,2,16 ft
31.9 ft,19.4 ft,2,06:09.0,Kevin Durant,MISS,2,18 ft
35.0 ft,4.28 ft,2,05:49.0,Kevin Durant,MAKE,2,11 ft
42.6 ft,19.4 ft,2,03:47.0,Kevin Durant,MISS,3,25 ft
38.5 ft,12.3 ft,2,03:34.0,Kevin Durant,MISS,2,17 ft
43.5 ft,21.5 ft,2,03:29.0,Kevin Durant,MISS,3,27 ft
35.1 ft,8.96 ft,2,01:50.0,Kevin Durant,MISS,2,13 ft
19.0 ft,10.9 ft,2,01:15.0,Kevin Durant,MAKE,2,9 ft
35.1 ft,26.0 ft,2,00:29.0,Kevin Durant,MISS,3,25 ft
38.4 ft,8.16 ft,2,00:00.0,Kevin Durant,MISS,2,15 ft
24.0 ft,28.1 ft,3,10:53.0,Kevin Durant,MISS,3,25 ft
11.8 ft,15.2 ft,3,10:45.0,Kevin Durant,MAKE,2,17 ft
13.1 ft,17.1 ft,3,08:36.0,Kevin Durant,MAKE,2,18 ft
37.9 ft,5.17 ft,3,06:23.0,Kevin Durant,MAKE,2,14 ft
24.9 ft,3.88 ft,3,06:03.0,Kevin Durant,MAKE,2,1 ft
32.8 ft,28.1 ft,3,05:31.0,Kevin Durant,MAKE,3,26 ft
40.8 ft,12.6 ft,3,02:04.0,Kevin Durant,MAKE,2,19 ft
35.3 ft,12.3 ft,3,01:25.0,Kevin Durant,MISS,2,15 ft
20.0 ft,28.3 ft,4,11:37.0,Kevin Durant,MISS,3,26 ft
25.3 ft,5.27 ft,4,10:38.0,Kevin Durant,MISS,2,2 ft
24.9 ft,29.1 ft,4,09:51.0,Kevin Durant,MISS,3,26 ft
31.4 ft,20.4 ft,4,06:41.0,Kevin Durant,MAKE,2,19 ft
26.8 ft,4.08 ft,4,06:03.0,Kevin Durant,MAKE,2,3 ft
40.6 ft,4.58 ft,4,04:54.0,Kevin Durant,MAKE,2,17 ft
41.3 ft,22.5 ft,4,00:56.0,Kevin Durant,MAKE,3,26 ft
41.0 ft,20.5 ft,4,00:32.0,Kevin Durant,MISS,3,24 ft
35.0 ft,3.88 ft,1,11:05.0,Kevin Durant,MAKE,2,11 ft
37.0 ft,6.87 ft,1,09:11.0,Kevin Durant,MISS,2,14 ft
28.1 ft,16.1 ft,1,07:11.0,Kevin Durant,MAKE,2,14 ft
37.4 ft,11.2 ft,1,04:51.0,Kevin Durant,MAKE,2,16 ft
22.6 ft,8.66 ft,1,00:21.0,Kevin Durant,MAKE,2,6 ft
35.5 ft,4.18 ft,3,10:51.0,Kevin Durant,MAKE,2,12 ft
24.6 ft,22.6 ft,3,08:44.0,Kevin Durant,MAKE,2,19 ft
29.7 ft,14.9 ft,3,07:27.0,Kevin Durant,MISS,2,13 ft
8.20 ft,5.17 ft,3,04:04.0,Kevin Durant,MISS,2,16 ft
11.2 ft,8.66 ft,1,10:48.0,Kevin Durant,MAKE,2,14 ft
30.7 ft,11.7 ft,1,09:21.0,Kevin Durant,MISS,2,11 ft
36.9 ft,2.29 ft,1,08:35.0,Kevin Durant,MAKE,2,13 ft
39.6 ft,15.3 ft,1,05:57.0,Kevin Durant,MAKE,2,20 ft
38.2 ft,4.08 ft,1,03:58.0,Kevin Durant,MAKE,2,14 ft
24.9 ft,30.3 ft,1,03:30.0,Kevin Durant,MISS,3,27 ft
16.1 ft,28.8 ft,1,02:41.0,Kevin Durant,MISS,3,27 ft
27.8 ft,5.47 ft,2,02:57.0,Kevin Durant,MISS,2,4 ft
31.8 ft,7.16 ft,2,01:29.0,Kevin Durant,MISS,2,9 ft
38.8 ft,15.2 ft,3,07:59.0,Kevin Durant,MISS,2,19 ft
36.9 ft,27.7 ft,3,07:20.0,Kevin Durant,MAKE,3,28 ft
21.2 ft,10.4 ft,3,01:10.0,Kevin Durant,MISS,2,8 ft
35.5 ft,11.2 ft,4,11:44.0,Kevin Durant,MAKE,2,14 ft
23.5 ft,30.4 ft,4,10:09.0,Kevin Durant,MISS,3,27 ft
28.1 ft,17.1 ft,4,06:52.0,Kevin Durant,MAKE,2,15 ft
16.8 ft,9.45 ft,4,04:03.0,Kevin Durant,MISS,2,10 ft
26.7 ft,2.78 ft,4,03:29.0,Kevin Durant,MISS,2,3 ft
24.6 ft,18.2 ft,4,01:28.0,Kevin Durant,MISS,2,15 ft
33.7 ft,10.7 ft,4,00:48.0,Kevin Durant,MISS,2,12 ft
9.8 ft,26.2 ft,4,00:10.0,Kevin Durant,MAKE,3,27 ft
35.1 ft,9.26 ft,1,11:36.0,Kevin Durant,MAKE,2,13 ft
27.5 ft,15.1 ft,1,10:52.0,Kevin Durant,MISS,2,12 ft
23.9 ft,2.78 ft,1,06:41.0,Kevin Durant,MAKE,2,0 ft
19.7 ft,7.66 ft,1,05:33.0,Kevin Durant,MAKE,2,6 ft
26.6 ft,9.55 ft,1,01:33.0,Kevin Durant,MAKE,2,7 ft
20.2 ft,12.2 ft,2,04:49.0,Kevin Durant,MAKE,2,10 ft
15.8 ft,8.76 ft,2,02:10.0,Kevin Durant,MAKE,2,10 ft
35.8 ft,7.16 ft,2,01:14.0,Kevin Durant,MAKE,2,12 ft
36.3 ft,14.0 ft,2,00:09.0,Kevin Durant,MISS,2,16 ft
12.7 ft,25.6 ft,3,09:32.0,Kevin Durant,MAKE,3,25 ft
25.4 ft,7.16 ft,3,06:40.0,Kevin Durant,MAKE,2,4 ft
22.8 ft,7.46 ft,3,04:46.0,Kevin Durant,MAKE,2,4 ft
25.9 ft,28.3 ft,3,02:50.0,Kevin Durant,MAKE,3,25 ft
25.3 ft,28.7 ft,3,02:21.0,Kevin Durant,MISS,3,26 ft
26.2 ft,12.7 ft,3,00:01.0,Kevin Durant,MISS,2,10 ft
24.8 ft,14.2 ft,1,10:46.0,Kevin Durant,MAKE,2,11 ft
29.5 ft,14.2 ft,1,07:36.0,Kevin Durant,MAKE,2,12 ft
36.3 ft,13.7 ft,1,06:21.0,Kevin Durant,MISS,2,16 ft
35.0 ft,14.9 ft,1,04:42.0,Kevin Durant,MISS,2,16 ft
34.8 ft,25.1 ft,1,02:55.0,Kevin Durant,MISS,3,25 ft
24.8 ft,9.26 ft,1,02:46.0,Kevin Durant,MAKE,2,6 ft
32.9 ft,20.2 ft,1,01:38.0,Kevin Durant,MAKE,2,19 ft
47.0 ft,6.47 ft,2,05:03.0,Kevin Durant,MAKE,3,23 ft
30.0 ft,17.4 ft,2,02:44.0,Kevin Durant,MAKE,2,15 ft
27.0 ft,3.58 ft,2,01:51.0,Kevin Durant,MAKE,2,3 ft
37.8 ft,24.4 ft,2,00:30.0,Kevin Durant,MISS,3,25 ft
33.1 ft,13.0 ft,3,07:31.0,Kevin Durant,MAKE,2,13 ft
21.0 ft,28.8 ft,3,06:44.0,Kevin Durant,MISS,3,26 ft
11.7 ft,3.78 ft,3,06:24.0,Kevin Durant,MAKE,2,12 ft
23.4 ft,15.2 ft,3,05:43.0,Kevin Durant,MISS,2,12 ft
37.8 ft,24.2 ft,3,03:17.0,Kevin Durant,MAKE,3,25 ft
21.6 ft,29.0 ft,3,02:52.0,Kevin Durant,MAKE,3,26 ft
38.8 ft,15.2 ft,3,01:33.0,Kevin Durant,MAKE,2,19 ft
23.5 ft,14.2 ft,4,06:38.0,Kevin Durant,MAKE,2,11 ft
13.4 ft,26.3 ft,4,06:09.0,Kevin Durant,MAKE,3,26 ft
28.7 ft,14.2 ft,4,02:53.0,Kevin Durant,MISS,2,12 ft
22.9 ft,15.1 ft,4,01:49.0,Kevin Durant,MISS,2,12 ft
31.4 ft,10.7 ft,4,01:19.0,Kevin Durant,MAKE,2,11 ft
33.3 ft,0.29 ft,1,10:13.0,Kevin Durant,MAKE,2,10 ft
22.2 ft,20.0 ft,1,08:07.0,Kevin Durant,MISS,2,17 ft
14.2 ft,15.7 ft,1,05:24.0,Kevin Durant,MAKE,2,16 ft
27.8 ft,29.0 ft,1,02:00.0,Kevin Durant,MISS,3,26 ft
3.30 ft,20.2 ft,1,01:18.0,Kevin Durant,MISS,3,27 ft
