x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
13.7 ft,26.7 ft,2,06:56.0,Kevin Durant,MAKE,3,26 ft
15.2 ft,17.6 ft,2,04:17.0,Kevin Durant,MAKE,2,17 ft
33.3 ft,17.2 ft,2,03:18.0,Kevin Durant,MISS,2,17 ft
35.4 ft,14.3 ft,2,01:28.0,Kevin Durant,MAKE,2,16 ft
35.6 ft,7.76 ft,2,01:07.0,Kevin Durant,MISS,2,12 ft
23.2 ft,12.2 ft,2,00:41.0,Kevin Durant,MISS,2,9 ft
14.4 ft,29.6 ft,2,00:00.0,Kevin Durant,MISS,3,28 ft
16.2 ft,15.7 ft,3,11:36.0,Kevin Durant,MISS,2,15 ft
21.9 ft,12.6 ft,3,10:43.0,Kevin Durant,MAKE,2,10 ft
25.4 ft,7.46 ft,3,09:38.0,Kevin Durant,MISS,2,4 ft
36.9 ft,12.6 ft,3,09:10.0,Kevin Durant,MAKE,2,16 ft
29.7 ft,11.8 ft,3,05:25.0,Kevin Durant,MAKE,2,10 ft
26.8 ft,4.97 ft,3,03:40.0,Kevin Durant,MAKE,2,3 ft
32.8 ft,26.5 ft,3,02:37.0,Kevin Durant,MISS,3,25 ft
30.4 ft,9.95 ft,3,02:04.0,Kevin Durant,MAKE,2,9 ft
37.3 ft,16.1 ft,3,01:34.0,Kevin Durant,MAKE,2,19 ft
31.6 ft,26.3 ft,3,00:59.0,Kevin Durant,MISS,3,24 ft
33.0 ft,5.17 ft,3,00:32.0,Kevin Durant,MISS,2,9 ft
20.7 ft,26.8 ft,4,07:07.0,Kevin Durant,MISS,3,24 ft
30.8 ft,14.7 ft,4,06:30.0,Kevin Durant,MISS,2,13 ft
31.1 ft,14.9 ft,4,04:54.0,Kevin Durant,MISS,2,14 ft
17.5 ft,11.2 ft,4,03:25.0,Kevin Durant,MAKE,2,10 ft
34.8 ft,8.26 ft,4,00:47.0,Kevin Durant,MISS,2,12 ft
41.9 ft,20.5 ft,1,10:26.0,Kevin Durant,MISS,3,25 ft
12.7 ft,6.27 ft,1,09:30.0,Kevin Durant,MAKE,2,12 ft
26.6 ft,4.68 ft,1,08:08.0,Kevin Durant,MISS,2,3 ft
21.9 ft,10.7 ft,1,07:37.0,Kevin Durant,MAKE,2,8 ft
30.9 ft,16.3 ft,1,06:52.0,Kevin Durant,MAKE,2,15 ft
30.5 ft,2.78 ft,1,03:53.0,Kevin Durant,MAKE,2,7 ft
37.5 ft,4.08 ft,1,02:05.0,Kevin Durant,MISS,2,14 ft
6.7 ft,23.5 ft,1,01:14.0,Kevin Durant,MISS,3,27 ft
20.3 ft,12.0 ft,2,06:05.0,Kevin Durant,MISS,2,10 ft
10.8 ft,5.67 ft,2,06:01.0,Kevin Durant,MAKE,2,13 ft
20.0 ft,19.2 ft,2,04:01.0,Kevin Durant,MAKE,2,16 ft
35.9 ft,13.2 ft,2,02:34.0,Kevin Durant,MAKE,2,16 ft
27.9 ft,19.2 ft,3,02:18.0,Kevin Durant,MISS,2,17 ft
38.9 ft,6.37 ft,3,00:44.0,Kevin Durant,MISS,2,15 ft
47.6 ft,3.78 ft,1,08:32.0,Kevin Durant,MISS,3,24 ft
36.3 ft,25.4 ft,1,06:53.0,Kevin Durant,MAKE,3,26 ft
23.5 ft,29.0 ft,1,04:43.0,Kevin Durant,MISS,3,26 ft
34.0 ft,9.95 ft,1,04:15.0,Kevin Durant,MISS,2,12 ft
34.5 ft,4.28 ft,1,02:03.0,Kevin Durant,MAKE,2,11 ft
21.0 ft,7.26 ft,1,01:20.0,Kevin Durant,MISS,2,5 ft
24.2 ft,5.07 ft,2,00:03.0,Kevin Durant,MAKE,2,2 ft
47.0 ft,5.87 ft,3,10:35.0,Kevin Durant,MAKE,3,23 ft
14.2 ft,26.1 ft,3,08:07.0,Kevin Durant,MISS,3,25 ft
36.0 ft,18.4 ft,3,07:27.0,Kevin Durant,MAKE,2,19 ft
26.1 ft,3.28 ft,3,05:04.0,Kevin Durant,MAKE,2,2 ft
33.2 ft,27.1 ft,3,03:55.0,Kevin Durant,MISS,3,26 ft
24.0 ft,2.88 ft,3,03:31.0,Kevin Durant,MAKE,2,0 ft
36.1 ft,25.2 ft,3,03:11.0,Kevin Durant,MISS,3,25 ft
23.5 ft,28.2 ft,3,01:14.0,Kevin Durant,MISS,3,25 ft
17.2 ft,27.1 ft,3,00:32.0,Kevin Durant,MAKE,3,25 ft
25.6 ft,20.0 ft,4,11:17.0,Kevin Durant,MAKE,2,17 ft
19.1 ft,9.06 ft,4,10:10.0,Kevin Durant,MISS,2,8 ft
34.8 ft,12.7 ft,4,08:49.0,Kevin Durant,MISS,2,14 ft
1.0 ft,10.7 ft,4,07:14.0,Kevin Durant,MISS,3,24 ft
14.7 ft,7.66 ft,4,04:17.0,Kevin Durant,MISS,2,10 ft
39.0 ft,6.37 ft,4,02:59.0,Kevin Durant,MISS,2,15 ft
25.9 ft,28.9 ft,4,02:10.0,Kevin Durant,MISS,3,26 ft
15.4 ft,9.55 ft,4,01:05.0,Kevin Durant,MISS,2,11 ft
33.6 ft,26.8 ft,1,10:05.0,Kevin Durant,MAKE,3,26 ft
26.3 ft,19.2 ft,1,09:19.0,Kevin Durant,MISS,2,16 ft
10.2 ft,12.2 ft,1,08:28.0,Kevin Durant,MISS,2,16 ft
23.4 ft,5.47 ft,1,07:42.0,Kevin Durant,MAKE,2,2 ft
23.3 ft,15.0 ft,1,05:10.0,Kevin Durant,MAKE,2,12 ft
35.6 ft,4.38 ft,1,04:04.0,Kevin Durant,MAKE,2,12 ft
34.3 ft,12.2 ft,1,02:32.0,Kevin Durant,MAKE,2,14 ft
16.9 ft,27.8 ft,2,05:47.0,Kevin Durant,MAKE,3,26 ft
21.0 ft,9.75 ft,2,04:13.0,Kevin Durant,MISS,2,7 ft
24.8 ft,4.28 ft,2,03:49.0,Kevin Durant,MISS,2,1 ft
21.7 ft,4.18 ft,2,02:24.0,Kevin Durant,MISS,2,2 ft
47.3 ft,5.87 ft,2,01:51.0,Kevin Durant,MISS,3,23 ft
26.5 ft,16.6 ft,2,01:28.0,Kevin Durant,MAKE,2,14 ft
25.2 ft,4.18 ft,2,00:47.0,Kevin Durant,MISS,2,1 ft
26.2 ft,28.3 ft,3,11:31.0,Kevin Durant,MAKE,3,25 ft
7.19 ft,21.9 ft,3,08:15.0,Kevin Durant,MAKE,3,25 ft
28.0 ft,24.0 ft,3,06:57.0,Kevin Durant,MISS,2,21 ft
18.2 ft,22.3 ft,3,04:38.0,Kevin Durant,MAKE,2,20 ft
35.8 ft,17.3 ft,3,03:42.0,Kevin Durant,MAKE,2,18 ft
37.2 ft,3.88 ft,3,02:05.0,Kevin Durant,MAKE,2,13 ft
36.1 ft,8.26 ft,3,01:23.0,Kevin Durant,MAKE,2,13 ft
22.2 ft,28.2 ft,3,00:29.0,Kevin Durant,MISS,3,25 ft
24.6 ft,13.7 ft,4,04:54.0,Kevin Durant,MAKE,2,11 ft
46.7 ft,10.4 ft,1,06:11.0,Kevin Durant,MAKE,3,24 ft
37.4 ft,14.9 ft,1,05:48.0,Kevin Durant,MISS,2,18 ft
24.9 ft,18.7 ft,1,01:59.0,Kevin Durant,MAKE,2,16 ft
19.9 ft,22.7 ft,1,00:31.0,Kevin Durant,MAKE,2,20 ft
33.9 ft,12.8 ft,2,04:27.0,Kevin Durant,MISS,2,14 ft
29.7 ft,28.2 ft,2,02:16.0,Kevin Durant,MISS,3,26 ft
29.5 ft,8.46 ft,3,11:07.0,Kevin Durant,MAKE,2,8 ft
9.6 ft,13.5 ft,3,10:05.0,Kevin Durant,MISS,2,18 ft
12.2 ft,7.26 ft,3,08:49.0,Kevin Durant,MISS,2,12 ft
32.8 ft,21.7 ft,3,07:56.0,Kevin Durant,MISS,2,21 ft
11.8 ft,8.66 ft,3,04:56.0,Kevin Durant,MISS,2,13 ft
35.9 ft,5.07 ft,3,02:35.0,Kevin Durant,MAKE,2,12 ft
18.9 ft,13.2 ft,3,01:41.0,Kevin Durant,MAKE,2,11 ft
30.8 ft,18.6 ft,3,00:26.0,Kevin Durant,MISS,2,17 ft
37.9 ft,23.5 ft,4,04:10.0,Kevin Durant,MAKE,3,25 ft
23.9 ft,3.38 ft,4,03:52.0,Kevin Durant,MAKE,2,0 ft
19.4 ft,13.7 ft,4,02:14.0,Kevin Durant,MAKE,2,12 ft
23.7 ft,16.7 ft,4,00:00.0,Kevin Durant,MISS,2,14 ft
23.1 ft,27.8 ft,1,11:14.0,Kevin Durant,MAKE,3,25 ft
34.2 ft,25.3 ft,1,10:45.0,Kevin Durant,MAKE,3,24 ft
11.7 ft,24.9 ft,1,07:00.0,Kevin Durant,MAKE,3,25 ft
30.7 ft,19.7 ft,1,05:43.0,Kevin Durant,MISS,2,18 ft
26.4 ft,8.46 ft,1,02:34.0,Kevin Durant,MAKE,2,6 ft
20.7 ft,3.58 ft,1,01:38.0,Kevin Durant,MISS,2,3 ft
13.7 ft,14.6 ft,2,05:50.0,Kevin Durant,MISS,2,15 ft
36.0 ft,10.7 ft,2,05:13.0,Kevin Durant,MAKE,2,14 ft
36.9 ft,24.5 ft,2,02:46.0,Kevin Durant,MAKE,3,25 ft
18.6 ft,14.6 ft,2,02:07.0,Kevin Durant,MAKE,2,13 ft
23.5 ft,4.08 ft,3,10:15.0,Kevin Durant,MISS,2,1 ft
10.8 ft,26.5 ft,3,09:07.0,Kevin Durant,MAKE,3,27 ft
35.6 ft,18.9 ft,3,05:31.0,Kevin Durant,MAKE,2,20 ft
34.5 ft,14.3 ft,3,05:24.0,Kevin Durant,MAKE,2,15 ft
24.4 ft,4.58 ft,3,04:51.0,Kevin Durant,MAKE,2,1 ft
15.1 ft,20.2 ft,3,04:25.0,Kevin Durant,MAKE,2,19 ft
23.2 ft,19.2 ft,3,03:54.0,Kevin Durant,MISS,2,16 ft
33.8 ft,10.7 ft,3,03:29.0,Kevin Durant,MISS,2,12 ft
40.3 ft,22.7 ft,3,02:31.0,Kevin Durant,MAKE,3,26 ft
15.9 ft,27.6 ft,3,02:03.0,Kevin Durant,MAKE,3,26 ft
40.8 ft,23.2 ft,3,01:28.0,Kevin Durant,MISS,3,26 ft
23.7 ft,18.8 ft,3,01:07.0,Kevin Durant,MISS,2,16 ft
22.8 ft,28.2 ft,4,08:41.0,Kevin Durant,MISS,3,25 ft
10.7 ft,9.06 ft,4,05:54.0,Kevin Durant,MAKE,2,15 ft
1.0 ft,1.29 ft,4,05:26.0,Kevin Durant,MAKE,3,23 ft
34.1 ft,18.1 ft,4,03:45.0,Kevin Durant,MAKE,2,18 ft
23.9 ft,4.08 ft,4,01:25.0,Kevin Durant,MAKE,2,1 ft
24.4 ft,4.18 ft,4,00:19.0,Kevin Durant,MAKE,2,1 ft
31.7 ft,13.2 ft,1,08:39.0,Kevin Durant,MISS,2,13 ft
22.9 ft,29.6 ft,1,02:04.0,Kevin Durant,MISS,3,27 ft
35.9 ft,20.2 ft,2,05:43.0,Kevin Durant,MISS,2,21 ft
17.2 ft,19.2 ft,2,04:10.0,Kevin Durant,MISS,2,17 ft
10.1 ft,9.95 ft,2,03:24.0,Kevin Durant,MAKE,2,15 ft
15.5 ft,12.2 ft,3,11:24.0,Kevin Durant,MISS,2,12 ft
28.7 ft,14.5 ft,3,09:45.0,Kevin Durant,MAKE,2,12 ft
32.4 ft,7.96 ft,3,07:21.0,Kevin Durant,MISS,2,10 ft
22.0 ft,29.1 ft,3,06:03.0,Kevin Durant,MAKE,3,26 ft
27.5 ft,13.5 ft,3,05:19.0,Kevin Durant,MAKE,2,11 ft
23.5 ft,29.1 ft,3,02:07.0,Kevin Durant,MISS,3,26 ft
12.7 ft,12.7 ft,4,05:52.0,Kevin Durant,MISS,2,15 ft
18.7 ft,12.3 ft,4,04:20.0,Kevin Durant,MISS,2,11 ft
36.3 ft,3.28 ft,1,11:09.0,Kevin Durant,MAKE,2,12 ft
17.8 ft,28.1 ft,1,06:21.0,Kevin Durant,MISS,3,26 ft
20.5 ft,20.7 ft,1,05:18.0,Kevin Durant,MISS,2,18 ft
25.3 ft,2.88 ft,1,02:19.0,Kevin Durant,MISS,2,1 ft
38.1 ft,13.1 ft,1,01:55.0,Kevin Durant,MAKE,2,17 ft
23.7 ft,27.7 ft,1,01:26.0,Kevin Durant,MISS,3,25 ft
13.9 ft,11.2 ft,2,05:22.0,Kevin Durant,MAKE,2,13 ft
32.6 ft,17.2 ft,3,10:03.0,Kevin Durant,MAKE,2,16 ft
7.19 ft,22.0 ft,3,09:27.0,Kevin Durant,MISS,3,25 ft
21.8 ft,4.77 ft,3,07:40.0,Kevin Durant,MISS,2,3 ft
9.8 ft,25.5 ft,3,05:57.0,Kevin Durant,MISS,3,27 ft
38.2 ft,24.5 ft,3,03:14.0,Kevin Durant,MAKE,3,26 ft
28.1 ft,29.0 ft,3,00:22.0,Kevin Durant,MAKE,3,26 ft
26.0 ft,29.1 ft,3,00:01.0,Kevin Durant,MISS,3,26 ft
23.9 ft,3.58 ft,4,10:30.0,Kevin Durant,MAKE,2,0 ft
12.7 ft,15.5 ft,4,09:32.0,Kevin Durant,MAKE,2,17 ft
10.2 ft,24.5 ft,4,08:51.0,Kevin Durant,MISS,3,25 ft
20.7 ft,28.7 ft,4,06:10.0,Kevin Durant,MISS,3,26 ft
8.3 ft,5.97 ft,4,05:34.0,Kevin Durant,MAKE,2,16 ft
18.7 ft,15.0 ft,4,04:57.0,Kevin Durant,MAKE,2,13 ft
28.2 ft,20.2 ft,4,04:15.0,Kevin Durant,MAKE,2,18 ft
-0.3 ft,6.97 ft,4,02:53.0,Kevin Durant,MISS,3,25 ft
22.6 ft,17.6 ft,1,07:56.0,Kevin Durant,MISS,2,14 ft
35.1 ft,7.86 ft,1,07:14.0,Kevin Durant,MAKE,2,12 ft
34.0 ft,26.7 ft,1,06:06.0,Kevin Durant,MAKE,3,26 ft
11.4 ft,18.1 ft,1,04:57.0,Kevin Durant,MAKE,2,20 ft
19.2 ft,14.1 ft,1,01:38.0,Kevin Durant,MAKE,2,12 ft
37.4 ft,8.36 ft,1,01:05.0,Kevin Durant,MAKE,2,14 ft
46.5 ft,5.37 ft,1,00:08.0,Kevin Durant,MAKE,3,23 ft
17.5 ft,15.0 ft,2,06:32.0,Kevin Durant,MISS,2,13 ft
24.9 ft,15.3 ft,2,05:25.0,Kevin Durant,MISS,2,12 ft
9.3 ft,7.66 ft,2,05:13.0,Kevin Durant,MISS,2,15 ft
21.2 ft,3.88 ft,3,11:40.0,Kevin Durant,MAKE,2,3 ft
20.0 ft,27.6 ft,3,08:23.0,Kevin Durant,MISS,3,25 ft
38.5 ft,9.45 ft,3,06:52.0,Kevin Durant,MISS,2,16 ft
34.8 ft,12.6 ft,3,06:24.0,Kevin Durant,MAKE,2,14 ft
29.7 ft,18.5 ft,3,05:21.0,Kevin Durant,MAKE,2,16 ft
22.7 ft,6.47 ft,3,03:37.0,Kevin Durant,MISS,2,3 ft
26.4 ft,15.8 ft,3,02:22.0,Kevin Durant,MISS,2,13 ft
34.2 ft,25.6 ft,4,08:52.0,Kevin Durant,MAKE,3,25 ft
24.3 ft,28.3 ft,4,06:31.0,Kevin Durant,MAKE,3,25 ft
37.9 ft,25.1 ft,4,02:13.0,Kevin Durant,MISS,3,26 ft
20.5 ft,5.87 ft,1,05:51.0,Kevin Durant,MISS,2,4 ft
35.6 ft,24.2 ft,1,04:09.0,Kevin Durant,MISS,3,24 ft
29.4 ft,16.4 ft,1,03:28.0,Kevin Durant,MISS,2,14 ft
12.0 ft,14.6 ft,1,02:33.0,Kevin Durant,MISS,2,17 ft
24.8 ft,28.5 ft,1,01:35.0,Kevin Durant,MISS,3,25 ft
25.4 ft,4.38 ft,2,04:28.0,Kevin Durant,MISS,2,2 ft
12.2 ft,25.7 ft,2,02:21.0,Kevin Durant,MISS,3,26 ft
25.0 ft,2.88 ft,2,01:14.0,Kevin Durant,MAKE,2,1 ft
19.7 ft,9.26 ft,3,08:15.0,Kevin Durant,MAKE,2,7 ft
25.7 ft,18.7 ft,3,07:51.0,Kevin Durant,MISS,2,16 ft
40.5 ft,22.0 ft,3,04:58.0,Kevin Durant,MISS,3,25 ft
32.1 ft,27.1 ft,3,03:34.0,Kevin Durant,MISS,3,25 ft
42.0 ft,7.76 ft,3,02:24.0,Kevin Durant,MAKE,2,19 ft
38.7 ft,4.97 ft,3,01:14.0,Kevin Durant,MAKE,2,15 ft
11.7 ft,25.0 ft,4,09:57.0,Kevin Durant,MISS,3,25 ft
16.2 ft,13.0 ft,4,07:21.0,Kevin Durant,MAKE,2,13 ft
32.8 ft,12.5 ft,4,05:39.0,Kevin Durant,MISS,2,13 ft
36.1 ft,4.77 ft,1,07:12.0,Kevin Durant,MAKE,2,12 ft
34.8 ft,4.28 ft,1,05:09.0,Kevin Durant,MAKE,2,11 ft
35.6 ft,8.76 ft,1,03:24.0,Kevin Durant,MAKE,2,13 ft
15.1 ft,12.7 ft,2,06:25.0,Kevin Durant,MAKE,2,13 ft
34.3 ft,12.5 ft,2,05:28.0,Kevin Durant,MISS,2,14 ft
25.2 ft,8.06 ft,3,11:39.0,Kevin Durant,MAKE,2,5 ft
13.9 ft,14.8 ft,3,05:30.0,Kevin Durant,MISS,2,15 ft
10.5 ft,3.88 ft,3,03:49.0,Kevin Durant,MISS,2,14 ft
31.2 ft,18.3 ft,3,02:03.0,Kevin Durant,MISS,2,17 ft
24.4 ft,20.7 ft,3,00:48.0,Kevin Durant,MISS,2,18 ft
24.7 ft,3.58 ft,3,00:17.0,Kevin Durant,MAKE,2,1 ft
14.7 ft,4.28 ft,4,09:26.0,Kevin Durant,MISS,2,9 ft
0.8 ft,1.39 ft,4,08:24.0,Kevin Durant,MAKE,3,23 ft
27.5 ft,29.1 ft,4,04:45.0,Kevin Durant,MISS,3,26 ft
31.6 ft,17.6 ft,4,04:02.0,Kevin Durant,MAKE,2,16 ft
36.7 ft,12.0 ft,4,03:38.0,Kevin Durant,MAKE,2,15 ft
22.3 ft,20.0 ft,1,11:44.0,Kevin Durant,MISS,2,17 ft
32.3 ft,19.2 ft,1,06:57.0,Kevin Durant,MISS,2,18 ft
33.2 ft,8.76 ft,1,06:47.0,Kevin Durant,MAKE,2,11 ft
17.0 ft,27.1 ft,1,03:28.0,Kevin Durant,MISS,3,25 ft
36.5 ft,15.6 ft,1,00:56.0,Kevin Durant,MISS,2,18 ft
11.6 ft,11.2 ft,1,00:34.0,Kevin Durant,MISS,2,15 ft
33.3 ft,20.2 ft,2,07:00.0,Kevin Durant,MISS,2,19 ft
15.4 ft,18.3 ft,2,05:32.0,Kevin Durant,MAKE,2,17 ft
23.5 ft,5.87 ft,2,03:04.0,Kevin Durant,MISS,2,3 ft
33.2 ft,18.3 ft,2,02:41.0,Kevin Durant,MISS,2,18 ft
12.2 ft,11.9 ft,3,11:25.0,Kevin Durant,MISS,2,15 ft
28.7 ft,19.1 ft,3,11:06.0,Kevin Durant,MAKE,2,17 ft
33.0 ft,12.5 ft,3,08:48.0,Kevin Durant,MAKE,2,13 ft
22.6 ft,5.07 ft,3,08:12.0,Kevin Durant,MISS,2,2 ft
11.5 ft,7.16 ft,3,08:09.0,Kevin Durant,MAKE,2,13 ft
16.6 ft,27.7 ft,3,06:43.0,Kevin Durant,MISS,3,26 ft
32.8 ft,19.2 ft,3,05:46.0,Kevin Durant,MAKE,2,18 ft
37.8 ft,13.5 ft,3,03:50.0,Kevin Durant,MAKE,2,17 ft
37.8 ft,12.2 ft,3,00:29.0,Kevin Durant,MISS,2,16 ft
11.8 ft,27.0 ft,4,08:04.0,Kevin Durant,MAKE,3,27 ft
35.6 ft,26.3 ft,4,06:45.0,Kevin Durant,MISS,3,26 ft
13.4 ft,21.2 ft,4,04:22.0,Kevin Durant,MISS,2,21 ft
10.7 ft,1.49 ft,4,01:20.0,Kevin Durant,MAKE,2,13 ft
36.4 ft,27.7 ft,4,00:15.0,Kevin Durant,MISS,3,28 ft
28.2 ft,11.7 ft,1,09:35.0,Kevin Durant,MISS,2,10 ft
32.2 ft,24.0 ft,1,08:40.0,Kevin Durant,MAKE,2,22 ft
25.9 ft,23.9 ft,1,07:40.0,Kevin Durant,MISS,2,21 ft
13.1 ft,10.5 ft,1,02:19.0,Kevin Durant,MAKE,2,13 ft
10.7 ft,15.6 ft,2,06:28.0,Kevin Durant,MISS,2,18 ft
13.5 ft,26.7 ft,2,02:05.0,Kevin Durant,MAKE,3,26 ft
16.5 ft,7.26 ft,2,01:45.0,Kevin Durant,MAKE,2,9 ft
31.9 ft,18.6 ft,3,09:19.0,Kevin Durant,MISS,2,17 ft
9.70 ft,17.2 ft,3,07:51.0,Kevin Durant,MISS,2,20 ft
17.1 ft,14.6 ft,3,06:04.0,Kevin Durant,MISS,2,13 ft
15.1 ft,18.3 ft,3,05:03.0,Kevin Durant,MISS,2,18 ft
37.5 ft,16.3 ft,3,00:00.0,Kevin Durant,MISS,2,19 ft
35.9 ft,22.5 ft,4,09:35.0,Kevin Durant,MISS,2,23 ft
21.2 ft,19.5 ft,4,06:49.0,Kevin Durant,MISS,2,17 ft
8.5 ft,11.5 ft,4,05:39.0,Kevin Durant,MISS,2,18 ft
15.8 ft,19.4 ft,4,03:13.0,Kevin Durant,MISS,2,18 ft
34.3 ft,27.5 ft,4,02:31.0,Kevin Durant,MISS,3,27 ft
3.69 ft,19.7 ft,1,07:56.0,Kevin Durant,MAKE,3,26 ft
24.7 ft,12.1 ft,1,04:26.0,Kevin Durant,MAKE,2,9 ft
34.5 ft,20.9 ft,2,07:51.0,Kevin Durant,MISS,2,21 ft
38.2 ft,24.0 ft,2,01:31.0,Kevin Durant,MISS,3,25 ft
36.8 ft,10.2 ft,2,01:25.0,Kevin Durant,MAKE,2,15 ft
36.5 ft,15.3 ft,3,09:20.0,Kevin Durant,MAKE,2,17 ft
22.1 ft,29.0 ft,3,07:01.0,Kevin Durant,MAKE,3,26 ft
34.6 ft,18.9 ft,3,02:58.0,Kevin Durant,MISS,2,19 ft
22.3 ft,4.38 ft,3,02:23.0,Kevin Durant,MISS,2,2 ft
14.7 ft,9.75 ft,3,00:38.0,Kevin Durant,MISS,2,11 ft
23.7 ft,3.38 ft,4,11:14.0,Kevin Durant,MAKE,2,0 ft
14.2 ft,4.08 ft,1,10:21.0,Kevin Durant,MAKE,2,10 ft
12.1 ft,3.08 ft,1,09:44.0,Kevin Durant,MISS,2,12 ft
34.3 ft,20.2 ft,1,09:25.0,Kevin Durant,MISS,2,20 ft
1.0 ft,2.68 ft,1,07:31.0,Kevin Durant,MAKE,3,23 ft
35.3 ft,26.3 ft,1,05:50.0,Kevin Durant,MISS,3,26 ft
25.9 ft,9.26 ft,1,03:30.0,Kevin Durant,MAKE,2,6 ft
23.7 ft,3.18 ft,1,01:59.0,Kevin Durant,MAKE,2,0 ft
47.8 ft,5.27 ft,2,09:52.0,Kevin Durant,MISS,3,24 ft
18.7 ft,27.7 ft,2,09:08.0,Kevin Durant,MISS,3,25 ft
37.8 ft,19.4 ft,2,07:08.0,Kevin Durant,MISS,2,21 ft
33.3 ft,12.2 ft,2,06:11.0,Kevin Durant,MAKE,2,13 ft
24.6 ft,27.6 ft,2,04:39.0,Kevin Durant,MAKE,3,25 ft
20.2 ft,15.6 ft,2,02:07.0,Kevin Durant,MAKE,2,13 ft
30.4 ft,16.4 ft,2,01:44.0,Kevin Durant,MISS,2,15 ft
33.8 ft,20.2 ft,2,01:14.0,Kevin Durant,MISS,2,20 ft
23.7 ft,18.8 ft,3,10:21.0,Kevin Durant,MAKE,2,16 ft
23.4 ft,29.6 ft,3,05:05.0,Kevin Durant,MISS,3,27 ft
35.3 ft,11.0 ft,3,04:20.0,Kevin Durant,MISS,2,14 ft
15.2 ft,27.3 ft,3,02:33.0,Kevin Durant,MISS,3,26 ft
22.4 ft,5.27 ft,4,11:48.0,Kevin Durant,MISS,2,3 ft
13.2 ft,15.2 ft,4,10:13.0,Kevin Durant,MISS,2,16 ft
13.7 ft,17.2 ft,4,10:08.0,Kevin Durant,MAKE,2,17 ft
26.3 ft,3.78 ft,4,09:35.0,Kevin Durant,MISS,2,2 ft
35.1 ft,7.96 ft,4,08:34.0,Kevin Durant,MAKE,2,12 ft
9.0 ft,23.1 ft,4,04:55.0,Kevin Durant,MISS,3,25 ft
13.4 ft,9.75 ft,4,04:19.0,Kevin Durant,MAKE,2,12 ft
36.1 ft,4.77 ft,4,02:37.0,Kevin Durant,MISS,2,12 ft
13.8 ft,13.1 ft,4,01:28.0,Kevin Durant,MAKE,2,14 ft
30.3 ft,28.6 ft,4,00:55.0,Kevin Durant,MISS,3,26 ft
33.8 ft,26.8 ft,4,00:10.0,Kevin Durant,MISS,3,26 ft
21.9 ft,29.2 ft,4,00:03.0,Kevin Durant,MAKE,3,26 ft
